Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1719033352
Base Time Fractional,.278615880
Base Time,06/22/2024 05:15:52.278615880
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-1.548794352857e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-60.0006561279297,Volt DC,100,T,2W,F,F,0.000000000
-1.472424810345e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.9012985229492,Volt DC,100,T,2W,F,F,1.169573360
-1.43707220559e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.7983322143555,Volt DC,100,T,2W,F,F,2.339140400
-1.37687784445e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.6986083984375,Volt DC,100,T,2W,F,F,3.508705140
-1.33239727802e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.5986747741699,Volt DC,100,T,2W,F,F,4.678258320
-1.29140998979e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.4990005493164,Volt DC,100,T,2W,F,F,5.847804900
-1.228603559866e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.3986320495605,Volt DC,100,T,2W,F,F,7.017367380
-1.202126895805e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.2989196777344,Volt DC,100,T,2W,F,F,8.186937080
-1.153725042968e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.1991844177246,Volt DC,100,T,2W,F,F,9.356490300
-1.113806774811e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.0995750427246,Volt DC,100,T,2W,F,F,10.526046180
-1.06629304355e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.0003204345703,Volt DC,100,T,2W,F,F,11.695625840
-1.01879641079e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-58.9004631042480,Volt DC,100,T,2W,F,F,12.865193420
-9.931765816873e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.7998428344727,Volt DC,100,T,2W,F,F,14.274769000
-9.599851182429e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.7003974914551,Volt DC,100,T,2W,F,F,15.444334140
-9.212049008056e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.6003150939941,Volt DC,100,T,2W,F,F,16.613914800
-8.871995305526e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.4969062805176,Volt DC,100,T,2W,F,F,17.783489240
-8.443879778497e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.3973236083984,Volt DC,100,T,2W,F,F,18.953045060
-8.212402462959e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.2974700927734,Volt DC,100,T,2W,F,F,20.122611660
-7.934224413475e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.1986045837402,Volt DC,100,T,2W,F,F,21.292184340
-7.685616765229e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.0983276367188,Volt DC,100,T,2W,F,F,22.461735000
-7.32375019652e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-57.9994087219238,Volt DC,100,T,2W,F,F,23.631320920
-7.044058747852e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-57.8989219665527,Volt DC,100,T,2W,F,F,24.800890620
