,Voltage (V),Current (A)
0,-50.0,-2.154995e-07
1,-50.101010101010104,-1.900534e-07
2,-50.2020202020202,-1.810947e-07
3,-50.303030303030305,-1.821337e-07
4,-50.4040404040404,-1.796474e-07
5,-50.505050505050505,-1.723653e-07
6,-50.60606060606061,-1.827032e-07
7,-50.707070707070706,-1.792251e-07
8,-50.80808080808081,-1.80473e-07
9,-50.90909090909091,-1.807011e-07
10,-51.01010101010101,-1.815121e-07
11,-51.111111111111114,-1.863141e-07
12,-51.21212121212121,-1.816381e-07
13,-51.313131313131315,-1.838356e-07
14,-51.41414141414141,-1.85881e-07
15,-51.515151515151516,-1.880152e-07
16,-51.61616161616162,-2.011804e-07
17,-51.717171717171716,-2.193049e-07
18,-51.81818181818182,-2.360873e-07
19,-51.91919191919192,-2.62029e-07
20,-52.02020202020202,-2.915043e-07
21,-52.121212121212125,-3.050355e-07
22,-52.22222222222222,-3.32718e-07
23,-52.323232323232325,-3.737222e-07
24,-52.42424242424242,-4.107902e-07
25,-52.525252525252526,-4.533633e-07
26,-52.62626262626263,-4.984079e-07
27,-52.72727272727273,-5.696826e-07
28,-52.82828282828283,-6.167792e-07
29,-52.92929292929293,-6.852322e-07
30,-53.03030303030303,-7.878176e-07
31,-53.13131313131313,-8.061622e-07
32,-53.23232323232323,-8.585901e-07
33,-53.333333333333336,-9.075275e-07
34,-53.43434343434343,-9.846675e-07
35,-53.535353535353536,-1.037908e-06
36,-53.63636363636363,-1.125936e-06
37,-53.73737373737374,-1.213014e-06
38,-53.83838383838384,-1.262783e-06
39,-53.93939393939394,-1.326033e-06
40,-54.04040404040404,-1.409233e-06
41,-54.14141414141414,-1.489237e-06
42,-54.24242424242424,-1.586594e-06
43,-54.343434343434346,-1.667175e-06
44,-54.44444444444444,-1.764436e-06
45,-54.54545454545455,-1.835096e-06
46,-54.64646464646464,-1.927619e-06
47,-54.74747474747475,-2.029664e-06
48,-54.84848484848485,-2.12715e-06
49,-54.94949494949495,-2.215985e-06
50,-55.05050505050505,-2.31256e-06
51,-55.15151515151515,-2.539595e-06
52,-55.25252525252525,-2.552377e-06
53,-55.35353535353536,-2.631202e-06
54,-55.45454545454545,-2.722643e-06
55,-55.55555555555556,-2.84364e-06
56,-55.656565656565654,-2.971404e-06
57,-55.75757575757576,-3.094212e-06
58,-55.858585858585855,-3.194332e-06
59,-55.95959595959596,-3.310579e-06
60,-56.06060606060606,-3.422243e-06
61,-56.16161616161616,-3.537825e-06
62,-56.26262626262626,-3.685969e-06
63,-56.36363636363636,-3.832361e-06
64,-56.464646464646464,-3.944048e-06
65,-56.56565656565657,-4.09543e-06
66,-56.666666666666664,-4.254594e-06
67,-56.76767676767677,-4.402076e-06
68,-56.868686868686865,-4.547353e-06
69,-56.96969696969697,-4.712842e-06
70,-57.07070707070707,-4.878651e-06
71,-57.17171717171717,-5.020021e-06
72,-57.27272727272727,-5.178198e-06
73,-57.37373737373737,-5.359052e-06
74,-57.474747474747474,-5.533307e-06
75,-57.57575757575758,-5.696438e-06
76,-57.676767676767675,-5.878263e-06
77,-57.77777777777778,-6.068261e-06
78,-57.878787878787875,-6.261571e-06
79,-57.97979797979798,-6.47425e-06
80,-58.08080808080808,-6.65203e-06
81,-58.18181818181818,-6.869177e-06
82,-58.282828282828284,-7.073229e-06
83,-58.38383838383838,-7.262995e-06
84,-58.484848484848484,-7.476884e-06
85,-58.58585858585859,-7.680086e-06
86,-58.686868686868685,-7.869392e-06
87,-58.78787878787879,-8.141089e-06
88,-58.888888888888886,-8.348969e-06
89,-58.98989898989899,-8.588031e-06
90,-59.09090909090909,-8.790252e-06
91,-59.19191919191919,-9.055205e-06
92,-59.292929292929294,-9.308637e-06
93,-59.39393939393939,-9.554484e-06
94,-59.494949494949495,-9.868926e-06
95,-59.5959595959596,-1.008609e-05
96,-59.696969696969695,-1.035571e-05
97,-59.7979797979798,-1.109246e-05
98,-59.898989898989896,-1.090435e-05
99,-60.0,-1.116858e-05
