,Voltage (V),Current (A),Current Std (A)
0,-50.0,-1.075126e-07,0.0
1,-50.101010101010104,-1.031891e-07,3.05719e-09
2,-50.2020202020202,-1.02052e-07,2.88108e-09
3,-50.303030303030305,-1.027544e-07,2.46859e-09
4,-50.4040404040404,-1.016263e-07,2.36296e-09
5,-50.505050505050505,-1.019907e-07,2.19331e-09
6,-50.60606060606061,-1.00605e-07,2.22747e-09
7,-50.707070707070706,-9.850162e-08,2.56561e-09
8,-50.80808080808081,-1.049955e-07,2.56505e-09
9,-50.90909090909091,-1.007964e-07,2.48331e-09
10,-51.01010101010101,-1.003138e-07,2.43859e-09
11,-51.111111111111114,-1.006569e-07,2.36807e-09
12,-51.21212121212121,-1.01683e-07,2.26997e-09
13,-51.313131313131315,-1.013737e-07,2.18844e-09
14,-51.41414141414141,-1.037085e-07,2.15428e-09
15,-51.515151515151516,-1.024165e-07,2.08258e-09
16,-51.61616161616162,-1.019913e-07,2.01676e-09
17,-51.717171717171716,-1.012132e-07,1.96837e-09
18,-51.81818181818182,-1.015861e-07,1.91622e-09
19,-51.91919191919192,-1.025305e-07,1.86819e-09
20,-52.02020202020202,-9.991093e-08,1.88112e-09
21,-52.121212121212125,-1.012838e-07,1.84164e-09
22,-52.22222222222222,-1.009818e-07,1.81037e-09
23,-52.323232323232325,-9.977342e-08,1.82295e-09
24,-52.42424242424242,-1.017506e-07,1.78461e-09
25,-52.525252525252526,-1.01828e-07,1.74856e-09
26,-52.62626262626263,-1.018766e-07,1.71465e-09
27,-52.72727272727273,-9.838303e-08,1.80302e-09
28,-52.82828282828283,-9.664727e-08,2.0028e-09
29,-52.92929292929293,-9.901127e-08,2.02035e-09
30,-53.03030303030303,-1.001088e-07,2.00055e-09
31,-53.13131313131313,-9.93614e-08,2.00039e-09
32,-53.23232323232323,-1.008247e-07,1.97081e-09
33,-53.333333333333336,-1.019965e-07,1.94428e-09
34,-53.43434343434343,-1.014625e-07,1.91561e-09
35,-53.535353535353536,-1.01707e-07,1.88907e-09
36,-53.63636363636363,-1.02081e-07,1.86658e-09
37,-53.73737373737374,-9.901942e-08,1.88007e-09
38,-53.83838383838384,-1.001194e-07,1.86482e-09
39,-53.93939393939394,-9.918048e-08,1.87024e-09
40,-54.04040404040404,-9.86799e-08,1.88884e-09
41,-54.14141414141414,-9.755851e-08,1.94659e-09
42,-54.24242424242424,-9.619819e-08,2.06192e-09
43,-54.343434343434346,-9.725039e-08,2.11312e-09
44,-54.44444444444444,-9.699047e-08,2.16773e-09
45,-54.54545454545455,-9.899635e-08,2.15974e-09
46,-54.64646464646464,-9.830152e-08,2.16577e-09
47,-54.74747474747475,-9.747401e-08,2.19254e-09
48,-54.84848484848485,-9.584252e-08,2.27484e-09
49,-54.94949494949495,-9.679503e-08,2.31272e-09
50,-55.05050505050505,-9.846227e-08,2.30647e-09
51,-55.15151515151515,-9.858191e-08,2.29791e-09
52,-55.25252525252525,-9.702052e-08,2.32211e-09
53,-55.35353535353536,-9.925503e-08,2.30466e-09
54,-55.45454545454545,-9.881277e-08,2.29201e-09
55,-55.55555555555556,-9.859463e-08,2.28213e-09
56,-55.656565656565654,-1.019765e-07,2.27329e-09
57,-55.75757575757576,-1.004731e-07,2.25341e-09
58,-55.858585858585855,-1.078689e-07,2.44278e-09
59,-55.95959595959596,-1.047761e-07,2.48684e-09
60,-56.06060606060606,-1.048436e-07,2.52857e-09
61,-56.16161616161616,-1.022796e-07,2.51736e-09
62,-56.26262626262626,-1.004337e-07,2.49704e-09
63,-56.36363636363636,-1.044105e-07,2.52309e-09
64,-56.464646464646464,-9.606549e-08,2.56668e-09
65,-56.56565656565657,-9.414411e-08,2.66669e-09
