Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,100
Base Time Seconds,1721916699
Base Time Fractional,.829806100
Base Time,07/25/2024 14:11:39.829806100
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-1.318233717029e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-60.0007514953613,Volt DC,100,T,2W,F,F,0.000000000
-1.26299855765e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.9014892578125,Volt DC,100,T,2W,F,F,0.070495900
-1.219758360094e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.7983360290527,Volt DC,100,T,2W,F,F,0.140977480
-1.176074056275e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.6954078674316,Volt DC,100,T,2W,F,F,0.211435600
-1.137540493801e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.5955314636230,Volt DC,100,T,2W,F,F,0.281879240
-1.087965029001e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.4957542419434,Volt DC,100,T,2W,F,F,0.352318700
-1.061607508746e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.3953514099121,Volt DC,100,T,2W,F,F,0.422790900
-1.012333177641e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-59.2958068847656,Volt DC,100,T,2W,F,F,0.493250800
-9.718976798467e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-59.1879501342773,Volt DC,100,T,2W,F,F,0.712705540
-9.424437848793e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-59.0884933471680,Volt DC,100,T,2W,F,F,0.784195300
-9.123526979238e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.9893951416016,Volt DC,100,T,2W,F,F,0.855658640
-8.817227353575e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.8895950317383,Volt DC,100,T,2W,F,F,0.927125000
-8.499810974172e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.7897300720215,Volt DC,100,T,2W,F,F,0.998595280
-8.13278984424e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.6833992004395,Volt DC,100,T,2W,F,F,1.070036540
-7.828782145225e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.5837249755859,Volt DC,100,T,2W,F,F,1.141501300
-7.58881060392e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.4836463928223,Volt DC,100,T,2W,F,F,1.212965760
-7.333054782066e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.3842048645020,Volt DC,100,T,2W,F,F,1.284417820
-7.053494755382e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.2841186523438,Volt DC,100,T,2W,F,F,1.355868020
-6.864147508168e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.1785583496094,Volt DC,100,T,2W,F,F,1.427311940
-6.544301868416e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-58.0786857604980,Volt DC,100,T,2W,F,F,1.498787680
-6.211683739821e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-57.9789428710938,Volt DC,100,T,2W,F,F,1.570247020
-6.068546554161e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-57.8797111511230,Volt DC,100,T,2W,F,F,1.641703800
-5.878107458557e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-57.7796287536621,Volt DC,100,T,2W,F,F,1.713170500
-5.551667072723e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-57.6731681823730,Volt DC,100,T,2W,F,F,1.784625340
-5.361931471271e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-57.5735130310059,Volt DC,100,T,2W,F,F,1.856093880
