,Voltage (V),Current (A)
0,-56.0,-3.712335e-06
1,-55.91304347826087,-3.539289e-06
2,-55.82608695652174,-3.345243e-06
3,-55.73913043478261,-3.189853e-06
4,-55.65217391304348,-3.009762e-06
5,-55.56521739130435,-2.829571e-06
6,-55.47826086956522,-2.717191e-06
7,-55.391304347826086,-2.561039e-06
8,-55.30434782608695,-2.424228e-06
9,-55.21739130434783,-2.266603e-06
10,-55.130434782608695,-2.180664e-06
11,-55.04347826086956,-2.011951e-06
12,-54.95652173913044,-1.911535e-06
13,-54.869565217391305,-1.79441e-06
14,-54.78260869565217,-1.695876e-06
15,-54.69565217391305,-1.594035e-06
16,-54.608695652173914,-1.4831e-06
17,-54.52173913043478,-1.389478e-06
18,-54.434782608695656,-1.287769e-06
19,-54.34782608695652,-1.203743e-06
20,-54.26086956521739,-1.105017e-06
21,-54.17391304347826,-1.030051e-06
22,-54.08695652173913,-9.488642e-07
23,-54.0,-8.798292e-07
24,-53.91304347826087,-8.034656e-07
25,-53.82608695652174,-7.39948e-07
26,-53.73913043478261,-6.825694e-07
27,-53.65217391304348,-6.122431e-07
28,-53.565217391304344,-5.51981e-07
29,-53.47826086956522,-4.948323e-07
30,-53.391304347826086,-4.461666e-07
31,-53.30434782608695,-3.951156e-07
32,-53.21739130434783,-3.529574e-07
33,-53.130434782608695,-3.0634e-07
34,-53.04347826086956,-2.631062e-07
35,-52.95652173913044,-2.196512e-07
36,-52.869565217391305,-1.886611e-07
37,-52.78260869565217,-1.568177e-07
38,-52.69565217391305,-1.267718e-07
39,-52.608695652173914,-1.015818e-07
40,-52.52173913043478,-7.748116e-08
41,-52.434782608695656,-5.804637e-08
42,-52.34782608695652,-4.254422e-08
43,-52.26086956521739,-2.86468e-08
44,-52.17391304347826,-2.125447e-08
45,-52.08695652173913,-1.815715e-08
46,-52.0,-1.72788e-08
47,-51.91304347826087,-1.709913e-08
48,-51.82608695652174,-1.706776e-08
49,-51.73913043478261,-1.697033e-08
50,-51.65217391304348,-1.696612e-08
51,-51.565217391304344,-1.69633e-08
52,-51.47826086956522,-1.687227e-08
53,-51.391304347826086,-1.686946e-08
54,-51.30434782608695,-1.689527e-08
55,-51.21739130434783,-1.684823e-08
56,-51.130434782608695,-1.667217e-08
57,-51.04347826086956,-1.680691e-08
58,-50.95652173913044,-1.684946e-08
59,-50.869565217391305,-1.667836e-08
60,-50.78260869565217,-1.669169e-08
61,-50.69565217391305,-1.678363e-08
62,-50.608695652173914,-1.669069e-08
63,-50.52173913043478,-1.659704e-08
64,-50.434782608695656,-1.666231e-08
65,-50.34782608695652,-1.657086e-08
66,-50.26086956521739,-1.656554e-08
67,-50.17391304347826,-1.660848e-08
68,-50.08695652173913,-1.651559e-08
69,-50.0,-1.655226e-08
