SiPM Label Rq,Rq,Std_Rq,SiPM Label Vbd,Vbd
08161516A_1,286.2275530513824,1.1144093919676263,08161516_A_1,-42.1025641025641
08161209B_1,278.9251975045551,1.091791465725222,08161209_B_1,-42.20512820512821
08161710C_1,262.89139330383114,1.0524161683600277,08161710_C_1,-41.7948717948718
08191011D_1,282.4091886296721,1.1708655215912709,08191011_D_1,-41.7948717948718
08141509E_1,265.44856663143315,1.0226079400436283,08141509_E_1,-41.8974358974359
08191345F_1,267.2485915665164,1.0693474679788284,08191345_F_1,-41.8974358974359
08161516A_2,261.50713563525824,1.0650529369075241,08161516_A_2,-42.1025641025641
08161209B_2,269.22643736797846,1.0494964306707526,08161209_B_2,-41.8974358974359
08161710C_2,280.25393809330626,1.0967351843953361,08161710_C_2,-41.8974358974359
08191011D_2,300.6115066596789,1.2172651014545803,08191011_D_2,-41.8974358974359
08141509E_2,280.0588054749791,1.1185873487210962,08141509_E_2,-41.8974358974359
08191345F_2,276.68738319429883,1.1125760800313684,08191345_F_2,-41.8974358974359
08161516A_3,272.47120833896645,1.0862641435413272,08161516_A_3,-42.1025641025641
08161209B_3,291.79972540717387,1.1957162794439806,08161209_B_3,-41.69230769230769
08161710C_3,283.61586533485547,1.1617435150241395,08161710_C_3,-41.8974358974359
08191011D_3,292.5996124957032,1.1684506718964183,08191011_D_3,-41.8974358974359
08141509E_3,274.97717861278255,1.0403638600903953,08141509_E_3,-41.8974358974359
08191345F_3,272.2718749520623,1.0914968401173883,08191345_F_3,-41.8974358974359
08161516A_4,275.4679494574662,1.1262392520017837,08161516_A_4,-42.1025641025641
08161209B_4,285.53919271048557,1.1350208650133657,08161209_B_4,-41.69230769230769
08161710C_4,282.9165260255395,1.1737574789083942,08161710_C_4,-41.8974358974359
08191011D_4,291.26105943893526,1.088574918167071,08191011_D_4,-41.7948717948718
08191345F_4,280.19633561015354,1.1322132685109552,08191345_F_4,-41.8974358974359
08161516A_5,275.4533135180567,1.145110571246568,08161516_A_5,-42.20512820512821
08161209B_5,295.07077101435846,1.1531624281398585,08161209_B_5,-41.69230769230769
08161710C_5,269.8975099783256,1.1309781876504896,08161710_C_5,-41.8974358974359
08191011D_5,287.2375680887679,1.106270377574951,08191011_D_5,-41.7948717948718
08191345F_5,280.2403241662117,1.1367503254635305,08191345_F_5,-41.8974358974359
08161516A_6,275.55567006424513,1.127521852497855,08161516_A_6,-41.8974358974359
08161209B_6,286.2759461080067,1.1381057486160868,08161209_B_6,-41.7948717948718
08161710C_6,264.45800635855613,1.224192440944115,08161710_C_6,-41.7948717948718
08191011D_6,283.9173067098396,1.0286093986144644,08191011_D_6,-41.8974358974359
08191345F_6,281.53562789221064,1.1542500767917894,08191345_F_6,-41.8974358974359
08161516A_7,280.4009088073855,1.1914734137261547,08161516_A_7,-42.20512820512821
08161209B_7,291.3796637682646,1.1572467841558203,08161209_B_7,-41.69230769230769
08161710C_7,278.29048407257227,1.2190046523008606,08161710_C_7,-41.8974358974359
08191011D_7,268.6621851697448,1.0833356311624365,08191011_D_7,-41.8974358974359
08191345F_7,276.1282444747099,1.1314672677328124,08191345_F_7,-41.8974358974359
08161516A_8,285.706452904908,1.1333519460141566,08161516_A_8,-41.8974358974359
08191011D_8,296.3690054923104,1.2083832823582654,08191011_D_8,-41.8974358974359
08191345F_8,292.7628984878982,1.1847175677918549,08191345_F_8,-41.8974358974359
08161516A_9,276.5563015738612,1.0790321808371008,08161516_A_9,-42.1025641025641
08191011D_9,267.4663147604258,1.0390013654338888,08191011_D_9,-41.8974358974359
08191345F_9,267.8749450171455,1.092215903408867,08191345_F_9,-41.7948717948718
