,Voltage (V),Current (A)
0,-56.0,-4.0961e-06
1,-55.91304347826087,-3.902954e-06
2,-55.82608695652174,-3.712664e-06
3,-55.73913043478261,-3.504196e-06
4,-55.65217391304348,-3.347115e-06
5,-55.56521739130435,-3.195366e-06
6,-55.47826086956522,-2.991928e-06
7,-55.391304347826086,-2.831438e-06
8,-55.30434782608695,-2.665315e-06
9,-55.21739130434783,-2.532756e-06
10,-55.130434782608695,-2.393118e-06
11,-55.04347826086956,-2.251947e-06
12,-54.95652173913044,-2.110492e-06
13,-54.869565217391305,-1.972009e-06
14,-54.78260869565217,-1.866748e-06
15,-54.69565217391305,-1.740537e-06
16,-54.608695652173914,-1.633439e-06
17,-54.52173913043478,-1.509466e-06
18,-54.434782608695656,-1.423614e-06
19,-54.34782608695652,-1.322291e-06
20,-54.26086956521739,-1.21303e-06
21,-54.17391304347826,-1.137478e-06
22,-54.08695652173913,-1.027783e-06
23,-54.0,-9.457004e-07
24,-53.91304347826087,-8.72225e-07
25,-53.82608695652174,-7.946813e-07
26,-53.73913043478261,-7.245115e-07
27,-53.65217391304348,-6.519838e-07
28,-53.565217391304344,-5.793985e-07
29,-53.47826086956522,-5.130516e-07
30,-53.391304347826086,-4.53532e-07
31,-53.30434782608695,-4.01448e-07
32,-53.21739130434783,-3.487611e-07
33,-53.130434782608695,-2.955492e-07
34,-53.04347826086956,-2.544135e-07
35,-52.95652173913044,-2.119205e-07
36,-52.869565217391305,-1.744464e-07
37,-52.78260869565217,-1.38861e-07
38,-52.69565217391305,-1.074379e-07
39,-52.608695652173914,-8.149752e-08
40,-52.52173913043478,-5.887785e-08
41,-52.434782608695656,-4.128043e-08
42,-52.34782608695652,-3.022584e-08
43,-52.26086956521739,-2.367184e-08
44,-52.17391304347826,-2.163061e-08
45,-52.08695652173913,-2.082971e-08
46,-52.0,-2.060864e-08
47,-51.91304347826087,-2.055035e-08
48,-51.82608695652174,-2.04177e-08
49,-51.73913043478261,-2.042947e-08
50,-51.65217391304348,-2.039349e-08
51,-51.565217391304344,-2.034436e-08
52,-51.47826086956522,-2.031538e-08
53,-51.391304347826086,-2.106402e-08
54,-51.30434782608695,-1.930984e-08
55,-51.21739130434783,-2.003314e-08
56,-51.130434782608695,-2.023793e-08
57,-51.04347826086956,-2.015516e-08
58,-50.95652173913044,-2.025265e-08
59,-50.869565217391305,-2.014013e-08
60,-50.78260869565217,-2.010558e-08
61,-50.69565217391305,-2.013009e-08
62,-50.608695652173914,-2.004934e-08
63,-50.52173913043478,-2.002101e-08
64,-50.434782608695656,-2.003888e-08
65,-50.34782608695652,-1.994289e-08
66,-50.26086956521739,-1.993361e-08
67,-50.17391304347826,-1.997016e-08
68,-50.08695652173913,-1.989652e-08
69,-50.0,-1.984688e-08
