,Voltage (V),Current (A)
0,-56.0,-5.026953e-06
1,-55.91304347826087,-4.859382e-06
2,-55.82608695652174,-4.60974e-06
3,-55.73913043478261,-4.297506e-06
4,-55.65217391304348,-4.199774e-06
5,-55.56521739130435,-3.937249e-06
6,-55.47826086956522,-3.807881e-06
7,-55.391304347826086,-3.56281e-06
8,-55.30434782608695,-3.424135e-06
9,-55.21739130434783,-3.149895e-06
10,-55.130434782608695,-3.036656e-06
11,-55.04347826086956,-2.876979e-06
12,-54.95652173913044,-2.746233e-06
13,-54.869565217391305,-2.583586e-06
14,-54.78260869565217,-2.439051e-06
15,-54.69565217391305,-2.290493e-06
16,-54.608695652173914,-2.163859e-06
17,-54.52173913043478,-2.048465e-06
18,-54.434782608695656,-1.918056e-06
19,-54.34782608695652,-1.820865e-06
20,-54.26086956521739,-1.710256e-06
21,-54.17391304347826,-1.588657e-06
22,-54.08695652173913,-1.487885e-06
23,-54.0,-1.379368e-06
24,-53.91304347826087,-1.288322e-06
25,-53.82608695652174,-1.187325e-06
26,-53.73913043478261,-1.113222e-06
27,-53.65217391304348,-1.014372e-06
28,-53.565217391304344,-9.485547e-07
29,-53.47826086956522,-8.65769e-07
30,-53.391304347826086,-7.94784e-07
31,-53.30434782608695,-7.19273e-07
32,-53.21739130434783,-6.53995e-07
33,-53.130434782608695,-5.922804e-07
34,-53.04347826086956,-5.28162e-07
35,-52.95652173913044,-4.739794e-07
36,-52.869565217391305,-4.221076e-07
37,-52.78260869565217,-3.631295e-07
38,-52.69565217391305,-3.157183e-07
39,-52.608695652173914,-2.741884e-07
40,-52.52173913043478,-2.289668e-07
41,-52.434782608695656,-1.922438e-07
42,-52.34782608695652,-1.563682e-07
43,-52.26086956521739,-1.249129e-07
44,-52.17391304347826,-9.632052e-08
45,-52.08695652173913,-7.226843e-08
46,-52.0,-5.254886e-08
47,-51.91304347826087,-3.657499e-08
48,-51.82608695652174,-2.469251e-08
49,-51.73913043478261,-1.879656e-08
50,-51.65217391304348,-1.644192e-08
51,-51.565217391304344,-1.564765e-08
52,-51.47826086956522,-1.550503e-08
53,-51.391304347826086,-1.600742e-08
54,-51.30434782608695,-1.538614e-08
55,-51.21739130434783,-1.544214e-08
56,-51.130434782608695,-1.540526e-08
57,-51.04347826086956,-1.533702e-08
58,-50.95652173913044,-1.530068e-08
59,-50.869565217391305,-1.530355e-08
60,-50.78260869565217,-1.529019e-08
61,-50.69565217391305,-1.525983e-08
62,-50.608695652173914,-1.520956e-08
63,-50.52173913043478,-1.516226e-08
64,-50.434782608695656,-1.514181e-08
65,-50.34782608695652,-1.514013e-08
66,-50.26086956521739,-1.512827e-08
67,-50.17391304347826,-1.511566e-08
68,-50.08695652173913,-1.509642e-08
69,-50.0,-1.509324e-08
