,Voltage (V),Current (A)
0,-56.0,-5.231977e-06
1,-55.91304347826087,-4.988058e-06
2,-55.82608695652174,-4.718791e-06
3,-55.73913043478261,-4.523091e-06
4,-55.65217391304348,-4.283051e-06
5,-55.56521739130435,-4.10258e-06
6,-55.47826086956522,-3.886992e-06
7,-55.391304347826086,-3.677854e-06
8,-55.30434782608695,-3.493438e-06
9,-55.21739130434783,-3.329487e-06
10,-55.130434782608695,-3.155817e-06
11,-55.04347826086956,-2.983994e-06
12,-54.95652173913044,-2.823297e-06
13,-54.869565217391305,-2.643843e-06
14,-54.78260869565217,-2.491271e-06
15,-54.69565217391305,-2.3493e-06
16,-54.608695652173914,-2.228481e-06
17,-54.52173913043478,-2.089375e-06
18,-54.434782608695656,-1.964594e-06
19,-54.34782608695652,-1.839876e-06
20,-54.26086956521739,-1.727311e-06
21,-54.17391304347826,-1.623113e-06
22,-54.08695652173913,-1.495075e-06
23,-54.0,-1.403689e-06
24,-53.91304347826087,-1.312537e-06
25,-53.82608695652174,-1.224701e-06
26,-53.73913043478261,-1.112327e-06
27,-53.65217391304348,-1.03711e-06
28,-53.565217391304344,-9.505027e-07
29,-53.47826086956522,-8.703135e-07
30,-53.391304347826086,-7.945589e-07
31,-53.30434782608695,-7.225842e-07
32,-53.21739130434783,-6.504114e-07
33,-53.130434782608695,-5.86966e-07
34,-53.04347826086956,-5.3125e-07
35,-52.95652173913044,-4.670341e-07
36,-52.869565217391305,-4.210438e-07
37,-52.78260869565217,-3.68814e-07
38,-52.69565217391305,-3.19403e-07
39,-52.608695652173914,-2.731848e-07
40,-52.52173913043478,-2.279282e-07
41,-52.434782608695656,-1.895706e-07
42,-52.34782608695652,-1.543097e-07
43,-52.26086956521739,-1.239213e-07
44,-52.17391304347826,-9.592789e-08
45,-52.08695652173913,-7.39314e-08
46,-52.0,-5.405338e-08
47,-51.91304347826087,-3.866496e-08
48,-51.82608695652174,-2.724326e-08
49,-51.73913043478261,-2.203264e-08
50,-51.65217391304348,-2.022811e-08
51,-51.565217391304344,-1.976822e-08
52,-51.47826086956522,-1.962783e-08
53,-51.391304347826086,-1.957468e-08
54,-51.30434782608695,-1.951511e-08
55,-51.21739130434783,-1.951188e-08
56,-51.130434782608695,-1.947005e-08
57,-51.04347826086956,-1.94195e-08
58,-50.95652173913044,-1.939618e-08
59,-50.869565217391305,-1.935576e-08
60,-50.78260869565217,-1.935964e-08
61,-50.69565217391305,-1.932248e-08
62,-50.608695652173914,-1.926369e-08
63,-50.52173913043478,-1.927493e-08
64,-50.434782608695656,-1.92512e-08
65,-50.34782608695652,-1.923472e-08
66,-50.26086956521739,-1.919178e-08
67,-50.17391304347826,-1.915233e-08
68,-50.08695652173913,-1.911549e-08
69,-50.0,-1.912063e-08
