,Voltage (V),Current (A)
0,-56.0,-2.422758e-09
1,-55.91304347826087,-1.264912e-09
2,-55.82608695652174,-1.314203e-09
3,-55.73913043478261,-1.195752e-09
4,-55.65217391304348,-1.123297e-09
5,-55.56521739130435,-9.820471e-10
6,-55.47826086956522,-8.922753e-10
7,-55.391304347826086,-8.770344e-10
8,-55.30434782608695,-7.845911e-10
9,-55.21739130434783,-7.696526e-10
10,-55.130434782608695,-7.340171e-10
11,-55.04347826086956,-6.683297e-10
12,-54.95652173913044,-6.369165e-10
13,-54.869565217391305,-5.601891e-10
14,-54.78260869565217,-5.500198e-10
15,-54.69565217391305,-4.876357e-10
16,-54.608695652173914,-4.54953e-10
17,-54.52173913043478,-4.062939e-10
18,-54.434782608695656,-3.764729e-10
19,-54.34782608695652,-3.612675e-10
20,-54.26086956521739,-3.670537e-10
21,-54.17391304347826,-3.413215e-10
22,-54.08695652173913,-3.428572e-10
23,-54.0,-3.236683e-10
24,-53.91304347826087,-2.946609e-10
25,-53.82608695652174,-3.705534e-10
26,-53.73913043478261,-3.588059e-10
27,-53.65217391304348,-3.036945e-10
28,-53.565217391304344,-3.337678e-10
29,-53.47826086956522,-3.164518e-10
30,-53.391304347826086,-3.154209e-10
31,-53.30434782608695,-3.222168e-10
32,-53.21739130434783,-3.178545e-10
33,-53.130434782608695,-2.591662e-10
34,-53.04347826086956,-3.397924e-10
35,-52.95652173913044,-2.63262e-10
36,-52.869565217391305,-3.842647e-10
37,-52.78260869565217,-3.309204e-10
38,-52.69565217391305,-3.4311e-10
39,-52.608695652173914,-3.397503e-10
40,-52.52173913043478,-3.116474e-10
41,-52.434782608695656,-3.375552e-10
42,-52.34782608695652,-3.153859e-10
43,-52.26086956521739,-3.185978e-10
44,-52.17391304347826,-3.017585e-10
45,-52.08695652173913,-3.17048e-10
46,-52.0,-3.281503e-10
47,-51.91304347826087,-3.297912e-10
48,-51.82608695652174,-2.949417e-10
49,-51.73913043478261,-3.020601e-10
50,-51.65217391304348,-2.929987e-10
51,-51.565217391304344,-2.889173e-10
52,-51.47826086956522,-3.089123e-10
53,-51.391304347826086,-2.906915e-10
54,-51.30434782608695,-3.341397e-10
55,-51.21739130434783,-2.931181e-10
56,-51.130434782608695,-3.371483e-10
57,-51.04347826086956,-2.770994e-10
58,-50.95652173913044,-2.901164e-10
59,-50.869565217391305,-2.867919e-10
60,-50.78260869565217,-2.851018e-10
61,-50.69565217391305,-3.049008e-10
62,-50.608695652173914,-2.944366e-10
63,-50.52173913043478,-2.723443e-10
64,-50.434782608695656,-3.130363e-10
65,-50.34782608695652,-2.812935e-10
66,-50.26086956521739,-2.924448e-10
67,-50.17391304347826,-2.90467e-10
68,-50.08695652173913,-2.952502e-10
69,-50.0,-2.169524e-10
