,Voltage (V),Current (A)
0,-56.0,-5.296954e-06
1,-55.91304347826087,-5.094005e-06
2,-55.82608695652174,-4.816911e-06
3,-55.73913043478261,-4.525076e-06
4,-55.65217391304348,-4.347904e-06
5,-55.56521739130435,-4.069482e-06
6,-55.47826086956522,-3.939168e-06
7,-55.391304347826086,-3.704026e-06
8,-55.30434782608695,-3.525179e-06
9,-55.21739130434783,-3.309253e-06
10,-55.130434782608695,-3.122001e-06
11,-55.04347826086956,-2.983042e-06
12,-54.95652173913044,-2.78673e-06
13,-54.869565217391305,-2.634792e-06
14,-54.78260869565217,-2.517387e-06
15,-54.69565217391305,-2.347532e-06
16,-54.608695652173914,-2.19538e-06
17,-54.52173913043478,-2.072087e-06
18,-54.434782608695656,-1.946275e-06
19,-54.34782608695652,-1.839585e-06
20,-54.26086956521739,-1.703006e-06
21,-54.17391304347826,-1.605788e-06
22,-54.08695652173913,-1.485105e-06
23,-54.0,-1.3911e-06
24,-53.91304347826087,-1.294793e-06
25,-53.82608695652174,-1.193197e-06
26,-53.73913043478261,-1.099457e-06
27,-53.65217391304348,-1.012994e-06
28,-53.565217391304344,-9.285712e-07
29,-53.47826086956522,-8.421447e-07
30,-53.391304347826086,-7.678707e-07
31,-53.30434782608695,-6.991285e-07
32,-53.21739130434783,-6.311784e-07
33,-53.130434782608695,-5.63242e-07
34,-53.04347826086956,-5.026719e-07
35,-52.95652173913044,-4.436436e-07
36,-52.869565217391305,-3.933869e-07
37,-52.78260869565217,-3.409622e-07
38,-52.69565217391305,-2.92885e-07
39,-52.608695652173914,-2.482779e-07
40,-52.52173913043478,-2.063667e-07
41,-52.434782608695656,-1.675937e-07
42,-52.34782608695652,-1.336437e-07
43,-52.26086956521739,-1.04074e-07
44,-52.17391304347826,-7.854809e-08
45,-52.08695652173913,-5.693224e-08
46,-52.0,-3.967896e-08
47,-51.91304347826087,-2.820292e-08
48,-51.82608695652174,-2.047661e-08
49,-51.73913043478261,-1.791386e-08
50,-51.65217391304348,-1.724798e-08
51,-51.565217391304344,-1.705715e-08
52,-51.47826086956522,-1.693536e-08
53,-51.391304347826086,-1.693416e-08
54,-51.30434782608695,-1.689866e-08
55,-51.21739130434783,-1.681968e-08
56,-51.130434782608695,-1.672108e-08
57,-51.04347826086956,-1.672599e-08
58,-50.95652173913044,-1.671101e-08
59,-50.869565217391305,-1.669684e-08
60,-50.78260869565217,-1.674482e-08
61,-50.69565217391305,-1.665922e-08
62,-50.608695652173914,-1.660949e-08
63,-50.52173913043478,-1.664086e-08
64,-50.434782608695656,-1.663025e-08
65,-50.34782608695652,-1.660349e-08
66,-50.26086956521739,-1.654969e-08
67,-50.17391304347826,-1.655336e-08
68,-50.08695652173913,-1.654852e-08
69,-50.0,-1.652569e-08
