,Voltage (V),Current (A)
0,-54.0,-1.533496e-06
1,-53.92307692307692,-1.42824e-06
2,-53.84615384615385,-1.340269e-06
3,-53.76923076923077,-1.243347e-06
4,-53.69230769230769,-1.148885e-06
5,-53.61538461538461,-1.063322e-06
6,-53.53846153846154,-9.814884e-07
7,-53.46153846153846,-9.123757e-07
8,-53.38461538461539,-8.321541e-07
9,-53.30769230769231,-7.711067e-07
10,-53.23076923076923,-7.0775e-07
11,-53.15384615384615,-6.513944e-07
12,-53.07692307692308,-5.868714e-07
13,-53.0,-5.327584e-07
14,-52.92307692307692,-4.865087e-07
15,-52.84615384615385,-4.293981e-07
16,-52.76923076923077,-3.844332e-07
17,-52.69230769230769,-3.399461e-07
18,-52.61538461538461,-2.952619e-07
19,-52.53846153846154,-2.596758e-07
20,-52.46153846153846,-2.164906e-07
21,-52.38461538461539,-1.851265e-07
22,-52.30769230769231,-1.573256e-07
23,-52.23076923076923,-1.257882e-07
24,-52.15384615384615,-1.010014e-07
25,-52.07692307692308,-7.790315e-08
26,-52.0,-5.771134e-08
27,-51.92307692307692,-4.275359e-08
28,-51.84615384615385,-2.67584e-08
29,-51.76923076923077,-1.908123e-08
30,-51.69230769230769,-1.396291e-08
31,-51.61538461538461,-1.236554e-08
32,-51.53846153846154,-1.189206e-08
33,-51.46153846153846,-1.170017e-08
34,-51.38461538461539,-1.164048e-08
35,-51.30769230769231,-1.159935e-08
36,-51.23076923076923,-1.154863e-08
37,-51.15384615384615,-1.152365e-08
38,-51.07692307692308,-1.152237e-08
39,-51.0,-1.147482e-08
