,Voltage (V),Current (A)
0,-54.0,-1.354843e-06
1,-53.92307692307692,-1.253333e-06
2,-53.84615384615385,-1.148822e-06
3,-53.76923076923077,-1.075182e-06
4,-53.69230769230769,-9.902276e-07
5,-53.61538461538461,-9.140658e-07
6,-53.53846153846154,-8.391252e-07
7,-53.46153846153846,-7.845655e-07
8,-53.38461538461539,-7.25574e-07
9,-53.30769230769231,-6.727538e-07
10,-53.23076923076923,-6.150914e-07
11,-53.15384615384615,-5.523214e-07
12,-53.07692307692308,-5.048376e-07
13,-53.0,-4.669541e-07
14,-52.92307692307692,-4.217547e-07
15,-52.84615384615385,-3.689838e-07
16,-52.76923076923077,-3.289286e-07
17,-52.69230769230769,-2.87259e-07
18,-52.61538461538461,-2.560882e-07
19,-52.53846153846154,-2.242609e-07
20,-52.46153846153846,-1.935958e-07
21,-52.38461538461539,-1.603248e-07
22,-52.30769230769231,-1.348313e-07
23,-52.23076923076923,-1.089795e-07
24,-52.15384615384615,-8.882598e-08
25,-52.07692307692308,-6.976215e-08
26,-52.0,-5.373385e-08
27,-51.92307692307692,-3.968844e-08
28,-51.84615384615385,-2.718528e-08
29,-51.76923076923077,-1.965475e-08
30,-51.69230769230769,-1.508463e-08
31,-51.61538461538461,-1.346692e-08
32,-51.53846153846154,-1.290368e-08
33,-51.46153846153846,-1.26646e-08
34,-51.38461538461539,-1.251077e-08
35,-51.30769230769231,-1.238871e-08
36,-51.23076923076923,-1.234532e-08
37,-51.15384615384615,-1.223538e-08
38,-51.07692307692308,-1.216685e-08
39,-51.0,-1.203335e-08
