,Voltage (V),Current (A)
0,-44.0,-1.97453e-09
1,-43.8974358974359,-2.230343e-09
2,-43.794871794871796,-2.006159e-09
3,-43.69230769230769,-1.276598e-09
4,-43.58974358974359,-1.266415e-09
5,-43.48717948717949,-1.537665e-09
6,-43.38461538461539,-1.113725e-09
7,-43.282051282051285,-1.037815e-09
8,-43.17948717948718,-1.176942e-09
9,-43.07692307692308,-9.906503e-10
10,-42.97435897435898,-5.016586e-10
11,-42.87179487179487,-5.637674e-10
12,-42.76923076923077,-6.059599e-10
13,-42.666666666666664,-9.486828e-10
14,-42.56410256410256,-5.274066e-10
15,-42.46153846153846,-4.243882e-10
16,-42.35897435897436,-3.48485e-10
17,-42.256410256410255,1.877112e-11
18,-42.15384615384615,3.961709e-11
19,-42.05128205128205,-2.145394e-10
20,-41.94871794871795,-2.25385e-10
21,-41.84615384615385,-4.743652e-11
22,-41.743589743589745,3.802608e-11
23,-41.64102564102564,-2.380447e-10
24,-41.53846153846154,-6.423236e-11
25,-41.43589743589744,6.632527e-11
26,-41.333333333333336,-1.740569e-10
27,-41.23076923076923,-1.58607e-10
28,-41.12820512820513,-7.763109e-10
29,-41.02564102564102,-9.413664e-11
30,-40.92307692307692,-7.570795e-11
31,-40.82051282051282,-8.175716e-11
32,-40.717948717948715,-8.358165e-11
33,-40.61538461538461,-8.151185e-11
34,-40.51282051282051,-6.280337e-10
35,-40.41025641025641,6.138501e-11
36,-40.30769230769231,-9.795708e-11
37,-40.205128205128204,-2.158902e-10
38,-40.1025641025641,-2.082794e-10
39,-40.0,-1.55116e-10
