,Voltage (V),Current (A)
0,-44.0,-2.027349e-05
1,-43.8974358974359,-1.930538e-05
2,-43.794871794871796,-1.841677e-05
3,-43.69230769230769,-1.746656e-05
4,-43.58974358974359,-1.658198e-05
5,-43.48717948717949,-1.567314e-05
6,-43.38461538461539,-1.478492e-05
7,-43.282051282051285,-1.384581e-05
8,-43.17948717948718,-1.297264e-05
9,-43.07692307692308,-1.206638e-05
10,-42.97435897435898,-1.118049e-05
11,-42.87179487179487,-1.030999e-05
12,-42.76923076923077,-9.449146e-06
13,-42.666666666666664,-8.560303e-06
14,-42.56410256410256,-7.740445e-06
15,-42.46153846153846,-6.879444e-06
16,-42.35897435897436,-6.094945e-06
17,-42.256410256410255,-5.323921e-06
18,-42.15384615384615,-4.612779e-06
19,-42.05128205128205,-3.907184e-06
20,-41.94871794871795,-3.308372e-06
21,-41.84615384615385,-2.745664e-06
22,-41.743589743589745,-2.302186e-06
23,-41.64102564102564,-1.918689e-06
24,-41.53846153846154,-1.627789e-06
25,-41.43589743589744,-1.381029e-06
26,-41.333333333333336,-1.195317e-06
27,-41.23076923076923,-1.039935e-06
28,-41.12820512820513,-9.213952e-07
29,-41.02564102564102,-8.273954e-07
30,-40.92307692307692,-7.46612e-07
31,-40.82051282051282,-6.763499e-07
32,-40.717948717948715,-6.190233e-07
33,-40.61538461538461,-5.717709e-07
34,-40.51282051282051,-5.297808e-07
35,-40.41025641025641,-4.928998e-07
36,-40.30769230769231,-4.604521e-07
37,-40.205128205128204,-4.32278e-07
38,-40.1025641025641,-4.054695e-07
39,-40.0,-3.838201e-07
