,Voltage (V),Current (A)
0,-50.0,-0.0001999821
1,-49.82051282051282,-0.0001999822
2,-49.64102564102564,-0.0001999823
3,-49.46153846153846,-0.0001999822
4,-49.282051282051285,-0.0001999819
5,-49.1025641025641,-0.0001999823
6,-48.92307692307692,-0.0001999822
7,-48.743589743589745,-0.0001999822
8,-48.56410256410256,-0.0001999821
9,-48.38461538461539,-0.0001999821
10,-48.205128205128204,-0.0001999821
11,-48.02564102564102,-0.0001999819
12,-47.84615384615385,-0.0001999822
13,-47.666666666666664,-0.0001999819
14,-47.48717948717949,-0.0001999819
15,-47.30769230769231,-0.0001999823
16,-47.12820512820513,-0.0001999821
17,-46.94871794871795,-0.0001999822
18,-46.76923076923077,-0.000199982
19,-46.58974358974359,-0.0001999822
20,-46.41025641025641,-1.934625e-05
21,-46.23076923076923,-2.463184e-06
22,-46.05128205128205,-1.149973e-06
23,-45.87179487179487,-7.438869e-07
24,-45.69230769230769,-5.516515e-07
25,-45.51282051282051,-4.400622e-07
26,-45.333333333333336,-3.646468e-07
27,-45.15384615384615,-3.118453e-07
28,-44.97435897435898,-2.710691e-07
29,-44.794871794871796,-2.40186e-07
30,-44.61538461538461,-2.157131e-07
31,-44.43589743589744,-1.949217e-07
32,-44.256410256410255,-1.786226e-07
33,-44.07692307692308,-1.637869e-07
34,-43.8974358974359,-1.518183e-07
35,-43.717948717948715,-1.413753e-07
36,-43.53846153846154,-1.317946e-07
37,-43.35897435897436,-1.2424e-07
38,-43.17948717948718,-1.167157e-07
39,-43.0,-1.100573e-07
