,Voltage (V),Current (A)
0,-54.0,-0.0001999822
1,-53.92307692307692,-0.0001999823
2,-53.84615384615385,-0.0001999822
3,-53.76923076923077,-0.0001999821
4,-53.69230769230769,-0.0001999822
5,-53.61538461538461,-0.0001999817
6,-53.53846153846154,-0.0001999814
7,-53.46153846153846,-0.000199982
8,-53.38461538461539,-0.0001999818
9,-53.30769230769231,-0.0001999819
10,-53.23076923076923,-0.0001999821
11,-53.15384615384615,-0.000199982
12,-53.07692307692308,-0.0001999821
13,-53.0,-0.0001999821
14,-52.92307692307692,-0.000199982
15,-52.84615384615385,-0.0001999819
16,-52.76923076923077,-0.0001999819
17,-52.69230769230769,-0.0001999813
18,-52.61538461538461,-0.0001999817
19,-52.53846153846154,-0.0001999817
20,-52.46153846153846,-0.0001999821
21,-52.38461538461539,-0.0001999819
22,-52.30769230769231,-0.000199982
23,-52.23076923076923,-0.0001999817
24,-52.15384615384615,-0.0001412027
25,-52.07692307692308,-8.333733e-05
26,-52.0,-4.264114e-05
27,-51.92307692307692,-1.806974e-05
28,-51.84615384615385,-5.524696e-06
29,-51.76923076923077,-2.106298e-06
30,-51.69230769230769,-9.722546e-07
31,-51.61538461538461,-6.262504e-07
32,-51.53846153846154,-4.590883e-07
33,-51.46153846153846,-3.597289e-07
34,-51.38461538461539,-3.03108e-07
35,-51.30769230769231,-2.651276e-07
36,-51.23076923076923,-2.321555e-07
37,-51.15384615384615,-2.098283e-07
38,-51.07692307692308,-1.903062e-07
39,-51.0,-1.767421e-07
