,Voltage (V),Current (A)
0,-54.0,-0.0001999821
1,-53.92307692307692,-0.000199981
2,-53.84615384615385,-0.0001999816
3,-53.76923076923077,-0.0001999818
4,-53.69230769230769,-0.0001999823
5,-53.61538461538461,-0.0001999816
6,-53.53846153846154,-0.000199981
7,-53.46153846153846,-0.0001999808
8,-53.38461538461539,-0.0001999817
9,-53.30769230769231,-0.0001999821
10,-53.23076923076923,-0.0001860676
11,-53.15384615384615,-0.0001713334
12,-53.07692307692308,-0.0001557624
13,-53.0,-0.0001425986
14,-52.92307692307692,-0.0001291958
15,-52.84615384615385,-0.0001156155
16,-52.76923076923077,-0.0001040393
17,-52.69230769230769,-9.197412e-05
18,-52.61538461538461,-8.086716e-05
19,-52.53846153846154,-7.079871e-05
20,-52.46153846153846,-5.999356e-05
21,-52.38461538461539,-5.122315e-05
22,-52.30769230769231,-4.258489e-05
23,-52.23076923076923,-3.429789e-05
24,-52.15384615384615,-2.732014e-05
25,-52.07692307692308,-2.038706e-05
26,-52.0,-1.461398e-05
27,-51.92307692307692,-9.74645e-06
28,-51.84615384615385,-5.419063e-06
29,-51.76923076923077,-2.695801e-06
30,-51.69230769230769,-1.010931e-06
31,-51.61538461538461,-3.43927e-07
32,-51.53846153846154,-1.398678e-07
33,-51.46153846153846,-7.091588e-08
34,-51.38461538461539,-5.006657e-08
35,-51.30769230769231,-4.015916e-08
36,-51.23076923076923,-3.368471e-08
37,-51.15384615384615,-3.008689e-08
38,-51.07692307692308,-2.728705e-08
39,-51.0,-2.52577e-08
