,Voltage (V),Current (A)
0,-54.0,-0.0001999758
1,-53.92307692307692,-0.0001999757
2,-53.84615384615385,-0.0001999758
3,-53.76923076923077,-0.000199976
4,-53.69230769230769,-0.0001999759
5,-53.61538461538461,-0.0001999762
6,-53.53846153846154,-0.0001999753
7,-53.46153846153846,-0.0001999755
8,-53.38461538461539,-0.0001999756
9,-53.30769230769231,-0.0001999758
10,-53.23076923076923,-0.0001999756
11,-53.15384615384615,-0.000199976
12,-53.07692307692308,-0.0001999753
13,-53.0,-0.0001999755
14,-52.92307692307692,-0.000199976
15,-52.84615384615385,-0.0001999756
16,-52.76923076923077,-0.0001999761
17,-52.69230769230769,-0.0001999751
18,-52.61538461538461,-0.0001999756
19,-52.53846153846154,-0.0001999754
20,-52.46153846153846,-0.0001999755
21,-52.38461538461539,-0.0001999764
22,-52.30769230769231,-0.0001999757
23,-52.23076923076923,-0.0001999755
24,-52.15384615384615,-0.0001999754
25,-52.07692307692308,-0.0001999756
26,-52.0,-0.0001917814
27,-51.92307692307692,-0.0001420681
28,-51.84615384615385,-9.342465e-05
29,-51.76923076923077,-5.870246e-05
30,-51.69230769230769,-2.963817e-05
31,-51.61538461538461,-1.247975e-05
32,-51.53846153846154,-4.579864e-06
33,-51.46153846153846,-1.530093e-06
34,-51.38461538461539,-6.722366e-07
35,-51.30769230769231,-4.096447e-07
36,-51.23076923076923,-2.795398e-07
37,-51.15384615384615,-2.19684e-07
38,-51.07692307692308,-1.795133e-07
39,-51.0,-1.530925e-07
