,Voltage (V),Current (A)
0,-54.0,-0.0004999778
1,-53.92307692307692,-0.0004999777
2,-53.84615384615385,-0.0004999776
3,-53.76923076923077,-0.0004999778
4,-53.69230769230769,-0.0004999773
5,-53.61538461538461,-0.0004999776
6,-53.53846153846154,-0.0004999777
7,-53.46153846153846,-0.0004999778
8,-53.38461538461539,-0.0004999781
9,-53.30769230769231,-0.0004999777
10,-53.23076923076923,-0.0004999777
11,-53.15384615384615,-0.0004999778
12,-53.07692307692308,-0.0004999775
13,-53.0,-0.0004620908
14,-52.92307692307692,-0.000399578
15,-52.84615384615385,-0.0003401459
16,-52.76923076923077,-0.000289732
17,-52.69230769230769,-0.0002374157
18,-52.61538461538461,-0.0001915956
19,-52.53846153846154,-0.0001521044
20,-52.46153846153846,-0.0001112286
21,-52.38461538461539,-7.973259e-05
22,-52.30769230769231,-5.176779e-05
23,-52.23076923076923,-2.823657e-05
24,-52.15384615384615,-1.315573e-05
25,-52.07692307692308,-4.588262e-06
26,-52.0,-1.567899e-06
27,-51.92307692307692,-6.722148e-07
28,-51.84615384615385,-3.656424e-07
29,-51.76923076923077,-2.555453e-07
30,-51.69230769230769,-1.94759e-07
31,-51.61538461538461,-1.609655e-07
32,-51.53846153846154,-1.384638e-07
33,-51.46153846153846,-1.217485e-07
34,-51.38461538461539,-1.098026e-07
35,-51.30769230769231,-1.00382e-07
36,-51.23076923076923,-9.166433e-08
37,-51.15384615384615,-8.678818e-08
38,-51.07692307692308,-8.128735e-08
39,-51.0,-7.699057e-08
