,Voltage (V),Current (A)
0,-54.0,-0.0004999855
1,-53.92307692307692,-0.0004999856
2,-53.84615384615385,-0.0004999854
3,-53.76923076923077,-0.0004999856
4,-53.69230769230769,-0.0004999856
5,-53.61538461538461,-0.0004999854
6,-53.53846153846154,-0.0004999848
7,-53.46153846153846,-0.0004999855
8,-53.38461538461539,-0.0004999855
9,-53.30769230769231,-0.0004999855
10,-53.23076923076923,-0.0004999856
11,-53.15384615384615,-0.0004999855
12,-53.07692307692308,-0.0004999857
13,-53.0,-0.0004999857
14,-52.92307692307692,-0.0004999854
15,-52.84615384615385,-0.0004999857
16,-52.76923076923077,-0.0004999856
17,-52.69230769230769,-0.0004999851
18,-52.61538461538461,-0.0004999855
19,-52.53846153846154,-0.0004999854
20,-52.46153846153846,-0.0004999854
21,-52.38461538461539,-0.0004999859
22,-52.30769230769231,-0.0004999851
23,-52.23076923076923,-0.0004928522
24,-52.15384615384615,-0.0003882896
25,-52.07692307692308,-0.0002879472
26,-52.0,-0.0002038495
27,-51.92307692307692,-0.0001346711
28,-51.84615384615385,-7.154392e-05
29,-51.76923076923077,-3.396933e-05
30,-51.69230769230769,-1.175059e-05
31,-51.61538461538461,-4.000049e-06
32,-51.53846153846154,-1.698308e-06
33,-51.46153846153846,-9.023868e-07
34,-51.38461538461539,-6.172084e-07
35,-51.30769230769231,-4.694145e-07
36,-51.23076923076923,-3.709702e-07
37,-51.15384615384615,-3.134877e-07
38,-51.07692307692308,-2.684571e-07
39,-51.0,-2.366208e-07
