,Voltage (V),Current (A)
0,-44.0,-3.528804e-09
1,-43.8974358974359,-9.984767e-10
2,-43.794871794871796,-6.836741e-10
3,-43.69230769230769,-5.854574e-10
4,-43.58974358974359,-5.142354e-10
5,-43.48717948717949,-4.724209e-10
6,-43.38461538461539,-4.293369e-10
7,-43.282051282051285,-4.77323e-10
8,-43.17948717948718,-4.141738e-10
9,-43.07692307692308,-3.349353e-10
10,-42.97435897435898,-2.646673e-10
11,-42.87179487179487,-3.188086e-10
12,-42.76923076923077,-3.492314e-10
13,-42.666666666666664,-3.533457e-10
14,-42.56410256410256,-2.540767e-10
15,-42.46153846153846,-3.314006e-10
16,-42.35897435897436,-2.359678e-10
17,-42.256410256410255,-2.742125e-10
18,-42.15384615384615,-3.022303e-10
19,-42.05128205128205,-2.653159e-10
20,-41.94871794871795,-8.582323e-11
21,-41.84615384615385,-1.208276e-10
22,-41.743589743589745,-1.513782e-10
23,-41.64102564102564,-1.752662e-10
24,-41.53846153846154,-2.137703e-10
25,-41.43589743589744,-2.288579e-10
26,-41.333333333333336,-1.60568e-10
27,-41.23076923076923,-1.740458e-10
28,-41.12820512820513,-1.442666e-10
29,-41.02564102564102,-2.327769e-10
30,-40.92307692307692,-1.350298e-10
31,-40.82051282051282,-9.503198e-11
32,-40.717948717948715,-8.220426e-11
33,-40.61538461538461,-1.142768e-10
34,-40.51282051282051,-9.733928e-11
35,-40.41025641025641,-1.262699e-10
36,-40.30769230769231,-1.293812e-10
37,-40.205128205128204,-1.513852e-10
38,-40.1025641025641,-7.452449e-11
39,-40.0,-1.308633e-11
