,Voltage (V),Current (A)
0,-54.0,-0.0004999855
1,-53.92307692307692,-0.0004999858
2,-53.84615384615385,-0.0004999856
3,-53.76923076923077,-0.0004999851
4,-53.69230769230769,-0.0004999854
5,-53.61538461538461,-0.000499985
6,-53.53846153846154,-0.0004999851
7,-53.46153846153846,-0.0004999856
8,-53.38461538461539,-0.0004999855
9,-53.30769230769231,-0.0004999855
10,-53.23076923076923,-0.0004999856
11,-53.15384615384615,-0.0004999856
12,-53.07692307692308,-0.0004999855
13,-53.0,-0.0004999855
14,-52.92307692307692,-0.0004999854
15,-52.84615384615385,-0.0004999856
16,-52.76923076923077,-0.0004999849
17,-52.69230769230769,-0.0004999852
18,-52.61538461538461,-0.0004999854
19,-52.53846153846154,-0.0004999856
20,-52.46153846153846,-0.0004999851
21,-52.38461538461539,-0.0004999856
22,-52.30769230769231,-0.0004999849
23,-52.23076923076923,-0.000464342
24,-52.15384615384615,-0.0003587333
25,-52.07692307692308,-0.0002572165
26,-52.0,-0.0001739847
27,-51.92307692307692,-0.0001077063
28,-51.84615384615385,-5.167934e-05
29,-51.76923076923077,-2.198046e-05
30,-51.69230769230769,-7.183929e-06
31,-51.61538461538461,-2.663801e-06
32,-51.53846153846154,-1.315343e-06
33,-51.46153846153846,-7.957664e-07
34,-51.38461538461539,-5.76803e-07
35,-51.30769230769231,-4.574019e-07
36,-51.23076923076923,-3.709564e-07
37,-51.15384615384615,-3.189e-07
38,-51.07692307692308,-2.767854e-07
39,-51.0,-2.461524e-07
