,Voltage (V),Current (A)
0,-44.0,-0.0004999863
1,-43.8974358974359,-0.0004999865
2,-43.794871794871796,-0.0004999859
3,-43.69230769230769,-0.0004999862
4,-43.58974358974359,-0.0004999861
5,-43.48717948717949,-0.0004999855
6,-43.38461538461539,-0.0004999861
7,-43.282051282051285,-0.0004999861
8,-43.17948717948718,-0.0004999863
9,-43.07692307692308,-0.0004999857
10,-42.97435897435898,-0.0004999855
11,-42.87179487179487,-0.0004999862
12,-42.76923076923077,-0.0004999858
13,-42.666666666666664,-0.0004999861
14,-42.56410256410256,-0.000499986
15,-42.46153846153846,-0.0004999858
16,-42.35897435897436,-0.0004570485
17,-42.256410256410255,-0.0003188923
18,-42.15384615384615,-0.0002029186
19,-42.05128205128205,-0.0001026555
20,-41.94871794871795,-3.941454e-05
21,-41.84615384615385,-8.874429e-06
22,-41.743589743589745,-2.274919e-06
23,-41.64102564102564,-9.764309e-07
24,-41.53846153846154,-6.254535e-07
25,-41.43589743589744,-4.454671e-07
26,-41.333333333333336,-3.531446e-07
27,-41.23076923076923,-2.889048e-07
28,-41.12820512820513,-2.467175e-07
29,-41.02564102564102,-2.137957e-07
30,-40.92307692307692,-1.897915e-07
31,-40.82051282051282,-1.6894e-07
32,-40.717948717948715,-1.533388e-07
33,-40.61538461538461,-1.393135e-07
34,-40.51282051282051,-1.289269e-07
35,-40.41025641025641,-1.18773e-07
36,-40.30769230769231,-1.109775e-07
37,-40.205128205128204,-1.034622e-07
38,-40.1025641025641,-9.728356e-08
39,-40.0,-9.23709e-08
