,Voltage (V),Current (A)
0,-54.0,-0.0004999817
1,-53.92307692307692,-0.0004999812
2,-53.84615384615385,-0.0004999816
3,-53.76923076923077,-0.0004999814
4,-53.69230769230769,-0.0004999817
5,-53.61538461538461,-0.0004999815
6,-53.53846153846154,-0.0004999815
7,-53.46153846153846,-0.0004999818
8,-53.38461538461539,-0.0004999812
9,-53.30769230769231,-0.0004999815
10,-53.23076923076923,-0.0004999817
11,-53.15384615384615,-0.0004999814
12,-53.07692307692308,-0.0004999817
13,-53.0,-0.0004999816
14,-52.92307692307692,-0.000499982
15,-52.84615384615385,-0.0004999817
16,-52.76923076923077,-0.0004999813
17,-52.69230769230769,-0.0004999816
18,-52.61538461538461,-0.0004999817
19,-52.53846153846154,-0.0004999813
20,-52.46153846153846,-0.0004999816
21,-52.38461538461539,-0.0004999817
22,-52.30769230769231,-0.0004999812
23,-52.23076923076923,-0.0004999815
24,-52.15384615384615,-0.0004999815
25,-52.07692307692308,-0.0004999815
26,-52.0,-0.0004059561
27,-51.92307692307692,-0.0003159835
28,-51.84615384615385,-0.0002241492
29,-51.76923076923077,-0.0001537081
30,-51.69230769230769,-8.912895e-05
31,-51.61538461538461,-4.374909e-05
32,-51.53846153846154,-1.699491e-05
33,-51.46153846153846,-5.316567e-06
34,-51.38461538461539,-2.06936e-06
35,-51.30769230769231,-1.113403e-06
36,-51.23076923076923,-7.106563e-07
37,-51.15384615384615,-5.47943e-07
38,-51.07692307692308,-4.423104e-07
39,-51.0,-3.771047e-07
