,Voltage (V),Current (A)
0,-44.0,-0.0004999862
1,-43.8974358974359,-0.0004999862
2,-43.794871794871796,-0.0004999861
3,-43.69230769230769,-0.0004999866
4,-43.58974358974359,-0.0004999863
5,-43.48717948717949,-0.0004999864
6,-43.38461538461539,-0.0004999862
7,-43.282051282051285,-0.0004999862
8,-43.17948717948718,-0.0004999863
9,-43.07692307692308,-0.0004999858
10,-42.97435897435898,-0.0004999864
11,-42.87179487179487,-0.0004999866
12,-42.76923076923077,-0.0004999865
13,-42.666666666666664,-0.0004999865
14,-42.56410256410256,-0.0004999864
15,-42.46153846153846,-0.0004999861
16,-42.35897435897436,-0.0004999861
17,-42.256410256410255,-0.0004494732
18,-42.15384615384615,-0.0002575578
19,-42.05128205128205,-0.0001071774
20,-41.94871794871795,-3.221684e-05
21,-41.84615384615385,-8.412044e-06
22,-41.743589743589745,-3.899061e-06
23,-41.64102564102564,-2.405908e-06
24,-41.53846153846154,-1.752205e-06
25,-41.43589743589744,-1.360557e-06
26,-41.333333333333336,-1.124298e-06
27,-41.23076923076923,-9.443302e-07
28,-41.12820512820513,-8.203542e-07
29,-41.02564102564102,-7.242404e-07
30,-40.92307692307692,-6.472814e-07
31,-40.82051282051282,-5.885084e-07
32,-40.717948717948715,-5.289245e-07
33,-40.61538461538461,-4.833682e-07
34,-40.51282051282051,-4.515576e-07
35,-40.41025641025641,-4.188738e-07
36,-40.30769230769231,-3.943153e-07
37,-40.205128205128204,-3.685235e-07
38,-40.1025641025641,-3.490217e-07
39,-40.0,-3.251601e-07
