,Voltage (V),Current (A)
0,-54.0,-1.508114e-06
1,-53.92307692307692,-1.416965e-06
2,-53.84615384615385,-1.318484e-06
3,-53.76923076923077,-1.197454e-06
4,-53.69230769230769,-1.101851e-06
5,-53.61538461538461,-1.025798e-06
6,-53.53846153846154,-9.530067e-07
7,-53.46153846153846,-8.627077e-07
8,-53.38461538461539,-8.130583e-07
9,-53.30769230769231,-7.369908e-07
10,-53.23076923076923,-6.725651e-07
11,-53.15384615384615,-6.196339e-07
12,-53.07692307692308,-5.688731e-07
13,-53.0,-5.20381e-07
14,-52.92307692307692,-4.648523e-07
15,-52.84615384615385,-4.091987e-07
16,-52.76923076923077,-3.684684e-07
17,-52.69230769230769,-3.243657e-07
18,-52.61538461538461,-2.831538e-07
19,-52.53846153846154,-2.45879e-07
20,-52.46153846153846,-2.068901e-07
21,-52.38461538461539,-1.738162e-07
22,-52.30769230769231,-1.446929e-07
23,-52.23076923076923,-1.190518e-07
24,-52.15384615384615,-9.385816e-08
25,-52.07692307692308,-7.154838e-08
26,-52.0,-5.303147e-08
27,-51.92307692307692,-3.837028e-08
28,-51.84615384615385,-2.578681e-08
29,-51.76923076923077,-1.908378e-08
30,-51.69230769230769,-1.527197e-08
31,-51.61538461538461,-1.415204e-08
32,-51.53846153846154,-1.365245e-08
33,-51.46153846153846,-1.36013e-08
34,-51.38461538461539,-1.350193e-08
35,-51.30769230769231,-1.336883e-08
36,-51.23076923076923,-1.333807e-08
37,-51.15384615384615,-1.32941e-08
38,-51.07692307692308,-1.372249e-08
39,-51.0,-1.321592e-08
