,Voltage (V),Current (A)
0,-54.0,-2.560273e-06
1,-53.92307692307692,-2.431365e-06
2,-53.84615384615385,-2.247555e-06
3,-53.76923076923077,-2.109649e-06
4,-53.69230769230769,-1.962579e-06
5,-53.61538461538461,-1.82127e-06
6,-53.53846153846154,-1.689408e-06
7,-53.46153846153846,-1.569338e-06
8,-53.38461538461539,-1.459175e-06
9,-53.30769230769231,-1.359086e-06
10,-53.23076923076923,-1.247393e-06
11,-53.15384615384615,-1.141964e-06
12,-53.07692307692308,-1.050313e-06
13,-53.0,-9.525145e-07
14,-52.92307692307692,-8.625004e-07
15,-52.84615384615385,-7.751472e-07
16,-52.76923076923077,-7.089881e-07
17,-52.69230769230769,-6.232292e-07
18,-52.61538461538461,-5.419625e-07
19,-52.53846153846154,-4.72697e-07
20,-52.46153846153846,-4.082582e-07
21,-52.38461538461539,-3.530815e-07
22,-52.30769230769231,-2.974006e-07
23,-52.23076923076923,-2.442245e-07
24,-52.15384615384615,-2.03123e-07
25,-52.07692307692308,-1.568019e-07
26,-52.0,-1.215673e-07
27,-51.92307692307692,-8.82457e-08
28,-51.84615384615385,-6.169124e-08
29,-51.76923076923077,-4.338987e-08
30,-51.69230769230769,-3.182443e-08
31,-51.61538461538461,-2.650379e-08
32,-51.53846153846154,-2.411171e-08
33,-51.46153846153846,-2.345308e-08
34,-51.38461538461539,-2.333213e-08
35,-51.30769230769231,-2.303827e-08
36,-51.23076923076923,-2.309103e-08
37,-51.15384615384615,-2.300165e-08
38,-51.07692307692308,-2.292219e-08
39,-51.0,-2.277768e-08
