,Voltage (V),Current (A)
0,-54.0,-0.0001999782
1,-53.92307692307692,-0.0001999778
2,-53.84615384615385,-0.000199978
3,-53.76923076923077,-0.0001999783
4,-53.69230769230769,-0.0001999784
5,-53.61538461538461,-0.000199978
6,-53.53846153846154,-0.0001999777
7,-53.46153846153846,-0.0001999782
8,-53.38461538461539,-0.0001999784
9,-53.30769230769231,-0.0001999784
10,-53.23076923076923,-0.0001999785
11,-53.15384615384615,-0.0001999779
12,-53.07692307692308,-0.0001999781
13,-53.0,-0.0001999777
14,-52.92307692307692,-0.0001999776
15,-52.84615384615385,-0.0001999778
16,-52.76923076923077,-0.000199978
17,-52.69230769230769,-0.0001999775
18,-52.61538461538461,-0.0001999776
19,-52.53846153846154,-0.0001999781
20,-52.46153846153846,-0.000199978
21,-52.38461538461539,-0.0001999783
22,-52.30769230769231,-0.0001999778
23,-52.23076923076923,-0.0001999784
24,-52.15384615384615,-0.0001999778
25,-52.07692307692308,-0.0001999778
26,-52.0,-0.0001999783
27,-51.92307692307692,-0.0001999781
28,-51.84615384615385,-0.0001999776
29,-51.76923076923077,-0.0001999779
30,-51.69230769230769,-0.0001999778
31,-51.61538461538461,-0.0001658629
32,-51.53846153846154,-7.096948e-05
33,-51.46153846153846,-2.397537e-05
34,-51.38461538461539,-8.50134e-06
35,-51.30769230769231,-4.151585e-06
36,-51.23076923076923,-2.426561e-06
37,-51.15384615384615,-1.759075e-06
38,-51.07692307692308,-1.352343e-06
39,-51.0,-1.108204e-06
