,Voltage (V),Current (A)
0,-54.0,-0.0004999805
1,-53.92307692307692,-0.0004999803
2,-53.84615384615385,-0.0004999805
3,-53.76923076923077,-0.0004999809
4,-53.69230769230769,-0.0004999806
5,-53.61538461538461,-0.0004999805
6,-53.53846153846154,-0.0004999803
7,-53.46153846153846,-0.0004999806
8,-53.38461538461539,-0.0004999809
9,-53.30769230769231,-0.0004999799
10,-53.23076923076923,-0.0004999806
11,-53.15384615384615,-0.0004999806
12,-53.07692307692308,-0.0004999805
13,-53.0,-0.0004999806
14,-52.92307692307692,-0.0004999804
15,-52.84615384615385,-0.0004999806
16,-52.76923076923077,-0.0004999805
17,-52.69230769230769,-0.0004999806
18,-52.61538461538461,-0.0004999806
19,-52.53846153846154,-0.0004999806
20,-52.46153846153846,-0.0004999802
21,-52.38461538461539,-0.0004999809
22,-52.30769230769231,-0.0004470253
23,-52.23076923076923,-0.0003389464
24,-52.15384615384615,-0.0002520302
25,-52.07692307692308,-0.0001706746
26,-52.0,-0.0001073583
27,-51.92307692307692,-6.25521e-05
28,-51.84615384615385,-2.875985e-05
29,-51.76923076923077,-1.221163e-05
30,-51.69230769230769,-4.341258e-06
31,-51.61538461538461,-1.747223e-06
32,-51.53846153846154,-9.308019e-07
33,-51.46153846153846,-6.112228e-07
34,-51.38461538461539,-4.599755e-07
35,-51.30769230769231,-3.761176e-07
36,-51.23076923076923,-3.123296e-07
37,-51.15384615384615,-2.738215e-07
38,-51.07692307692308,-2.40612e-07
39,-51.0,-2.163717e-07
