,Voltage (V),Current (A)
0,-54.0,-0.0004999861
1,-53.92307692307692,-0.0004999859
2,-53.84615384615385,-0.0004999858
3,-53.76923076923077,-0.0004999862
4,-53.69230769230769,-0.0004999855
5,-53.61538461538461,-0.0004999856
6,-53.53846153846154,-0.0004999854
7,-53.46153846153846,-0.0004999852
8,-53.38461538461539,-0.0004999858
9,-53.30769230769231,-0.0004999855
10,-53.23076923076923,-0.0004999854
11,-53.15384615384615,-0.0004999858
12,-53.07692307692308,-0.0004999853
13,-53.0,-0.0004999852
14,-52.92307692307692,-0.0004999853
15,-52.84615384615385,-0.0004999851
16,-52.76923076923077,-0.0004999849
17,-52.69230769230769,-0.0004999858
18,-52.61538461538461,-0.0004999855
19,-52.53846153846154,-0.0004999856
20,-52.46153846153846,-0.0004999858
21,-52.38461538461539,-0.0004999855
22,-52.30769230769231,-0.0004999855
23,-52.23076923076923,-0.0004999855
24,-52.15384615384615,-0.0004472694
25,-52.07692307692308,-0.0003313024
26,-52.0,-0.0002335058
27,-51.92307692307692,-0.0001537811
28,-51.84615384615385,-8.085347e-05
29,-51.76923076923077,-3.766343e-05
30,-51.69230769230769,-1.266e-05
31,-51.61538461538461,-4.376117e-06
32,-51.53846153846154,-1.927675e-06
33,-51.46153846153846,-1.054706e-06
34,-51.38461538461539,-7.197058e-07
35,-51.30769230769231,-5.540912e-07
36,-51.23076923076923,-4.397182e-07
37,-51.15384615384615,-3.721942e-07
38,-51.07692307692308,-3.193377e-07
39,-51.0,-2.818318e-07
