,Voltage (V),Current (A)
0,-54.0,-0.0004999801
1,-53.92307692307692,-0.0004999797
2,-53.84615384615385,-0.0004999802
3,-53.76923076923077,-0.0004999798
4,-53.69230769230769,-0.0004999801
5,-53.61538461538461,-0.0004999797
6,-53.53846153846154,-0.0004999796
7,-53.46153846153846,-0.0004999792
8,-53.38461538461539,-0.0004999797
9,-53.30769230769231,-0.0004999799
10,-53.23076923076923,-0.0004999797
11,-53.15384615384615,-0.0004999798
12,-53.07692307692308,-0.0004999803
13,-53.0,-0.0004853447
14,-52.92307692307692,-0.0004404023
15,-52.84615384615385,-0.0003982573
16,-52.76923076923077,-0.0003602991
17,-52.69230769230769,-0.0003207441
18,-52.61538461538461,-0.0002844372
19,-52.53846153846154,-0.0002512766
20,-52.46153846153846,-0.0002163159
21,-52.38461538461539,-0.0001871049
22,-52.30769230769231,-0.0001584445
23,-52.23076923076923,-0.0001303683
24,-52.15384615384615,-0.0001071027
25,-52.07692307692308,-8.312052e-05
26,-52.0,-6.286437e-05
27,-51.92307692307692,-4.577777e-05
28,-51.84615384615385,-2.893057e-05
29,-51.76923076923077,-1.669433e-05
30,-51.69230769230769,-7.135733e-06
31,-51.61538461538461,-2.49309e-06
32,-51.53846153846154,-8.344091e-07
33,-51.46153846153846,-3.413245e-07
34,-51.38461538461539,-1.885923e-07
35,-51.30769230769231,-1.311764e-07
36,-51.23076923076923,-9.930289e-08
37,-51.15384615384615,-8.099971e-08
38,-51.07692307692308,-6.951222e-08
39,-51.0,-6.124842e-08
