,Voltage (V),Current (A)
0,-54.0,-0.0004999769
1,-53.92307692307692,-0.0004999771
2,-53.84615384615385,-0.000499977
3,-53.76923076923077,-0.0004999773
4,-53.69230769230769,-0.0004999772
5,-53.61538461538461,-0.0004999773
6,-53.53846153846154,-0.0004999773
7,-53.46153846153846,-0.0004999773
8,-53.38461538461539,-0.0004999774
9,-53.30769230769231,-0.0004999776
10,-53.23076923076923,-0.0004999773
11,-53.15384615384615,-0.0004999775
12,-53.07692307692308,-0.000499977
13,-53.0,-0.0004999774
14,-52.92307692307692,-0.0004999775
15,-52.84615384615385,-0.0004999773
16,-52.76923076923077,-0.0004999775
17,-52.69230769230769,-0.0004999767
18,-52.61538461538461,-0.0004999773
19,-52.53846153846154,-0.0004999774
20,-52.46153846153846,-0.0004999773
21,-52.38461538461539,-0.0004999776
22,-52.30769230769231,-0.0004999773
23,-52.23076923076923,-0.0004999771
24,-52.15384615384615,-0.0004999775
25,-52.07692307692308,-0.000438799
26,-52.0,-0.0003269077
27,-51.92307692307692,-0.0002343049
28,-51.84615384615385,-0.0001439171
29,-51.76923076923077,-8.045214e-05
30,-51.69230769230769,-3.341184e-05
31,-51.61538461538461,-1.129055e-05
32,-51.53846153846154,-4.096241e-06
33,-51.46153846153846,-1.77493e-06
34,-51.38461538461539,-1.064431e-06
35,-51.30769230769231,-7.614216e-07
36,-51.23076923076923,-5.849551e-07
37,-51.15384615384615,-4.878023e-07
38,-51.07692307692308,-4.172202e-07
39,-51.0,-3.682485e-07
