,Voltage (V),Current (A)
0,-44.0,-0.0001999825
1,-43.8974358974359,-0.0001999827
2,-43.794871794871796,-0.0001999824
3,-43.69230769230769,-0.0001999823
4,-43.58974358974359,-0.0001999823
5,-43.48717948717949,-0.0001999821
6,-43.38461538461539,-0.0001999824
7,-43.282051282051285,-0.0001999825
8,-43.17948717948718,-0.0001999823
9,-43.07692307692308,-0.0001999823
10,-42.97435897435898,-0.0001999825
11,-42.87179487179487,-0.0001999823
12,-42.76923076923077,-0.0001999824
13,-42.666666666666664,-0.0001999824
14,-42.56410256410256,-0.0001999823
15,-42.46153846153846,-0.0001999822
16,-42.35897435897436,-0.0001999824
17,-42.256410256410255,-0.0001999822
18,-42.15384615384615,-0.0001999821
19,-42.05128205128205,-0.000199982
20,-41.94871794871795,-7.191576e-05
21,-41.84615384615385,-1.560855e-05
22,-41.743589743589745,-5.643051e-06
23,-41.64102564102564,-3.201263e-06
24,-41.53846153846154,-2.227095e-06
25,-41.43589743589744,-1.676608e-06
26,-41.333333333333336,-1.365963e-06
27,-41.23076923076923,-1.134071e-06
28,-41.12820512820513,-9.758874e-07
29,-41.02564102564102,-8.590173e-07
30,-40.92307692307692,-7.674235e-07
31,-40.82051282051282,-6.852813e-07
32,-40.717948717948715,-6.276791e-07
33,-40.61538461538461,-5.774676e-07
34,-40.51282051282051,-5.308316e-07
35,-40.41025641025641,-4.916353e-07
36,-40.30769230769231,-4.667337e-07
37,-40.205128205128204,-4.330825e-07
38,-40.1025641025641,-4.084769e-07
39,-40.0,-3.834296e-07
