,Voltage (V),Current (A)
0,-44.0,-0.000499986
1,-43.8974358974359,-0.0004999862
2,-43.794871794871796,-0.0004999861
3,-43.69230769230769,-0.0004999863
4,-43.58974358974359,-0.0004999865
5,-43.48717948717949,-0.0004999865
6,-43.38461538461539,-0.0004999864
7,-43.282051282051285,-0.0004999862
8,-43.17948717948718,-0.0004999863
9,-43.07692307692308,-0.0004999862
10,-42.97435897435898,-0.0004999862
11,-42.87179487179487,-0.0004999865
12,-42.76923076923077,-0.0004999861
13,-42.666666666666664,-0.0004999864
14,-42.56410256410256,-0.0004999865
15,-42.46153846153846,-0.0004999858
16,-42.35897435897436,-0.0004999863
17,-42.256410256410255,-0.0004999863
18,-42.15384615384615,-0.0004999863
19,-42.05128205128205,-0.0004670367
20,-41.94871794871795,-0.0002715779
21,-41.84615384615385,-0.0001166165
22,-41.743589743589745,-3.725347e-05
23,-41.64102564102564,-1.08668e-05
24,-41.53846153846154,-5.133074e-06
25,-41.43589743589744,-3.178571e-06
26,-41.333333333333336,-2.323283e-06
27,-41.23076923076923,-1.805434e-06
28,-41.12820512820513,-1.49274e-06
29,-41.02564102564102,-1.266596e-06
30,-40.92307692307692,-1.106581e-06
31,-40.82051282051282,-9.701462e-07
32,-40.717948717948715,-8.692613e-07
33,-40.61538461538461,-7.833152e-07
34,-40.51282051282051,-7.156635e-07
35,-40.41025641025641,-6.57828e-07
36,-40.30769230769231,-6.112513e-07
37,-40.205128205128204,-5.718835e-07
38,-40.1025641025641,-5.349328e-07
39,-40.0,-4.9908e-07
