,Voltage (V),Current (A)
0,-44.0,-0.0004999861
1,-43.8974358974359,-0.0004999861
2,-43.794871794871796,-0.0004999866
3,-43.69230769230769,-0.0004999866
4,-43.58974358974359,-0.0004999865
5,-43.48717948717949,-0.0004999861
6,-43.38461538461539,-0.0004999859
7,-43.282051282051285,-0.0004999862
8,-43.17948717948718,-0.0004999861
9,-43.07692307692308,-0.0004999868
10,-42.97435897435898,-0.0004999861
11,-42.87179487179487,-0.0004999865
12,-42.76923076923077,-0.0004999858
13,-42.666666666666664,-0.0004999863
14,-42.56410256410256,-0.0004999866
15,-42.46153846153846,-0.0004999857
16,-42.35897435897436,-0.0004999861
17,-42.256410256410255,-0.000373103
18,-42.15384615384615,-0.0002350151
19,-42.05128205128205,-0.0001153749
20,-41.94871794871795,-4.101416e-05
21,-41.84615384615385,-8.382208e-06
22,-41.743589743589745,-2.499493e-06
23,-41.64102564102564,-1.235827e-06
24,-41.53846153846154,-8.087293e-07
25,-41.43589743589744,-5.958837e-07
26,-41.333333333333336,-4.754233e-07
27,-41.23076923076923,-3.9034e-07
28,-41.12820512820513,-3.354759e-07
29,-41.02564102564102,-2.911845e-07
30,-40.92307692307692,-2.582795e-07
31,-40.82051282051282,-2.30943e-07
32,-40.717948717948715,-2.092843e-07
33,-40.61538461538461,-1.910496e-07
34,-40.51282051282051,-1.758219e-07
35,-40.41025641025641,-1.62627e-07
36,-40.30769230769231,-1.519555e-07
37,-40.205128205128204,-1.415862e-07
38,-40.1025641025641,-1.334265e-07
39,-40.0,-1.250818e-07
