,Voltage (V),Current (A)
0,-44.0,-0.0004999861
1,-43.8974358974359,-0.0004999863
2,-43.794871794871796,-0.0004999868
3,-43.69230769230769,-0.0004999865
4,-43.58974358974359,-0.0004999866
5,-43.48717948717949,-0.0004999863
6,-43.38461538461539,-0.0004999861
7,-43.282051282051285,-0.0004999859
8,-43.17948717948718,-0.0004999862
9,-43.07692307692308,-0.0004999861
10,-42.97435897435898,-0.0004999858
11,-42.87179487179487,-0.0004999863
12,-42.76923076923077,-0.0004999863
13,-42.666666666666664,-0.0004999863
14,-42.56410256410256,-0.0004999862
15,-42.46153846153846,-0.0004999861
16,-42.35897435897436,-0.0004999853
17,-42.256410256410255,-0.0004999864
18,-42.15384615384615,-0.0004327405
19,-42.05128205128205,-0.0002176668
20,-41.94871794871795,-8.869781e-05
21,-41.84615384615385,-2.854908e-05
22,-41.743589743589745,-1.213985e-05
23,-41.64102564102564,-7.111073e-06
24,-41.53846153846154,-5.024675e-06
25,-41.43589743589744,-3.82437e-06
26,-41.333333333333336,-3.099517e-06
27,-41.23076923076923,-2.605708e-06
28,-41.12820512820513,-2.244004e-06
29,-41.02564102564102,-1.969527e-06
30,-40.92307692307692,-1.763102e-06
31,-40.82051282051282,-1.58489e-06
32,-40.717948717948715,-1.444004e-06
33,-40.61538461538461,-1.321036e-06
34,-40.51282051282051,-1.217889e-06
35,-40.41025641025641,-1.131935e-06
36,-40.30769230769231,-1.057212e-06
37,-40.205128205128204,-9.869282e-07
38,-40.1025641025641,-9.257258e-07
39,-40.0,-8.736787e-07
