,Voltage (V),Current (A)
0,-44.0,-0.0004999863
1,-43.8974358974359,-0.0004999859
2,-43.794871794871796,-0.0004999861
3,-43.69230769230769,-0.0004999855
4,-43.58974358974359,-0.0004999859
5,-43.48717948717949,-0.0004999861
6,-43.38461538461539,-0.0004999858
7,-43.282051282051285,-0.0004999857
8,-43.17948717948718,-0.0004999858
9,-43.07692307692308,-0.0004999859
10,-42.97435897435898,-0.0004999863
11,-42.87179487179487,-0.0004999865
12,-42.76923076923077,-0.0004999866
13,-42.666666666666664,-0.0004999863
14,-42.56410256410256,-0.0004999858
15,-42.46153846153846,-0.0004999861
16,-42.35897435897436,-0.0004999861
17,-42.256410256410255,-0.0004729096
18,-42.15384615384615,-0.0003004328
19,-42.05128205128205,-0.000154555
20,-41.94871794871795,-6.341036e-05
21,-41.84615384615385,-1.671135e-05
22,-41.743589743589745,-4.797204e-06
23,-41.64102564102564,-2.244246e-06
24,-41.53846153846154,-1.454725e-06
25,-41.43589743589744,-1.068154e-06
26,-41.333333333333336,-8.488175e-07
27,-41.23076923076923,-6.983792e-07
28,-41.12820512820513,-6.017382e-07
29,-41.02564102564102,-5.244794e-07
30,-40.92307692307692,-4.643333e-07
31,-40.82051282051282,-4.162367e-07
32,-40.717948717948715,-3.785378e-07
33,-40.61538461538461,-3.432012e-07
34,-40.51282051282051,-3.203416e-07
35,-40.41025641025641,-2.947504e-07
36,-40.30769230769231,-2.738926e-07
37,-40.205128205128204,-2.56805e-07
38,-40.1025641025641,-2.408535e-07
39,-40.0,-2.25432e-07
