,Voltage (V),Current (A)
0,-44.0,-0.0004999866
1,-43.8974358974359,-0.0004999861
2,-43.794871794871796,-0.0004999868
3,-43.69230769230769,-0.0004999861
4,-43.58974358974359,-0.0004999866
5,-43.48717948717949,-0.0004999864
6,-43.38461538461539,-0.0004999863
7,-43.282051282051285,-0.0004999861
8,-43.17948717948718,-0.0004999863
9,-43.07692307692308,-0.0004999866
10,-42.97435897435898,-0.0004999866
11,-42.87179487179487,-0.0004999865
12,-42.76923076923077,-0.000499986
13,-42.666666666666664,-0.0004999862
14,-42.56410256410256,-0.0004999862
15,-42.46153846153846,-0.0004999859
16,-42.35897435897436,-0.0004999856
17,-42.256410256410255,-0.0004999858
18,-42.15384615384615,-0.0004709591
19,-42.05128205128205,-0.0002429466
20,-41.94871794871795,-0.0001020102
21,-41.84615384615385,-3.202432e-05
22,-41.743589743589745,-1.329327e-05
23,-41.64102564102564,-7.568876e-06
24,-41.53846153846154,-5.318738e-06
25,-41.43589743589744,-4.027483e-06
26,-41.333333333333336,-3.263631e-06
27,-41.23076923076923,-2.732754e-06
28,-41.12820512820513,-2.358923e-06
29,-41.02564102564102,-2.055245e-06
30,-40.92307692307692,-1.838314e-06
31,-40.82051282051282,-1.645188e-06
32,-40.717948717948715,-1.50168e-06
33,-40.61538461538461,-1.369504e-06
34,-40.51282051282051,-1.265134e-06
35,-40.41025641025641,-1.16845e-06
36,-40.30769230769231,-1.094831e-06
37,-40.205128205128204,-1.021404e-06
38,-40.1025641025641,-9.577334e-07
39,-40.0,-9.03067e-07
