,Voltage (V),Current (A)
0,-56.0,-4.392988e-06
1,-55.91304347826087,-4.211809e-06
2,-55.82608695652174,-4.018309e-06
3,-55.73913043478261,-3.788376e-06
4,-55.65217391304348,-3.590256e-06
5,-55.56521739130435,-3.457852e-06
6,-55.47826086956522,-3.235459e-06
7,-55.391304347826086,-3.034786e-06
8,-55.30434782608695,-2.939769e-06
9,-55.21739130434783,-2.719219e-06
10,-55.130434782608695,-2.573956e-06
11,-55.04347826086956,-2.397432e-06
12,-54.95652173913044,-2.24031e-06
13,-54.869565217391305,-2.129271e-06
14,-54.78260869565217,-1.980244e-06
15,-54.69565217391305,-1.873509e-06
16,-54.608695652173914,-1.757166e-06
17,-54.52173913043478,-1.620358e-06
18,-54.434782608695656,-1.527638e-06
19,-54.34782608695652,-1.413476e-06
20,-54.26086956521739,-1.298507e-06
21,-54.17391304347826,-1.214287e-06
22,-54.08695652173913,-1.105829e-06
23,-54.0,-1.025564e-06
24,-53.91304347826087,-9.376244e-07
25,-53.82608695652174,-8.399339e-07
26,-53.73913043478261,-7.743639e-07
27,-53.65217391304348,-6.935428e-07
28,-53.565217391304344,-6.18601e-07
29,-53.47826086956522,-5.536023e-07
30,-53.391304347826086,-4.837678e-07
31,-53.30434782608695,-4.349968e-07
32,-53.21739130434783,-3.762169e-07
33,-53.130434782608695,-3.200352e-07
34,-53.04347826086956,-2.723382e-07
35,-52.95652173913044,-2.237575e-07
36,-52.869565217391305,-1.849012e-07
37,-52.78260869565217,-1.490912e-07
38,-52.69565217391305,-1.126963e-07
39,-52.608695652173914,-8.499345e-08
40,-52.52173913043478,-6.122225e-08
41,-52.434782608695656,-4.285882e-08
42,-52.34782608695652,-3.048651e-08
43,-52.26086956521739,-2.414936e-08
44,-52.17391304347826,-2.229965e-08
45,-52.08695652173913,-2.167011e-08
46,-52.0,-2.156671e-08
47,-51.91304347826087,-2.221949e-08
48,-51.82608695652174,-2.12691e-08
49,-51.73913043478261,-2.170739e-08
50,-51.65217391304348,-2.137482e-08
51,-51.565217391304344,-2.127899e-08
52,-51.47826086956522,-2.126355e-08
53,-51.391304347826086,-2.119997e-08
54,-51.30434782608695,-2.116568e-08
55,-51.21739130434783,-2.114306e-08
56,-51.130434782608695,-2.111212e-08
57,-51.04347826086956,-2.111356e-08
58,-50.95652173913044,-2.106081e-08
59,-50.869565217391305,-2.09989e-08
60,-50.78260869565217,-2.101158e-08
61,-50.69565217391305,-2.09528e-08
62,-50.608695652173914,-2.093467e-08
63,-50.52173913043478,-2.097023e-08
64,-50.434782608695656,-2.084076e-08
65,-50.34782608695652,-2.083581e-08
66,-50.26086956521739,-2.082898e-08
67,-50.17391304347826,-2.081449e-08
68,-50.08695652173913,-2.078607e-08
69,-50.0,-2.070292e-08
