,Voltage (V),Current (A)
0,-56.0,-5.32512e-06
1,-55.91304347826087,-5.144136e-06
2,-55.82608695652174,-4.82729e-06
3,-55.73913043478261,-4.637382e-06
4,-55.65217391304348,-4.354336e-06
5,-55.56521739130435,-4.193609e-06
6,-55.47826086956522,-3.974299e-06
7,-55.391304347826086,-3.740805e-06
8,-55.30434782608695,-3.563989e-06
9,-55.21739130434783,-3.372474e-06
10,-55.130434782608695,-3.208449e-06
11,-55.04347826086956,-3.040145e-06
12,-54.95652173913044,-2.85592e-06
13,-54.869565217391305,-2.705617e-06
14,-54.78260869565217,-2.529836e-06
15,-54.69565217391305,-2.421077e-06
16,-54.608695652173914,-2.237511e-06
17,-54.52173913043478,-2.116804e-06
18,-54.434782608695656,-1.976208e-06
19,-54.34782608695652,-1.867838e-06
20,-54.26086956521739,-1.760532e-06
21,-54.17391304347826,-1.654435e-06
22,-54.08695652173913,-1.531697e-06
23,-54.0,-1.437693e-06
24,-53.91304347826087,-1.326815e-06
25,-53.82608695652174,-1.236193e-06
26,-53.73913043478261,-1.151519e-06
27,-53.65217391304348,-1.044618e-06
28,-53.565217391304344,-9.68438e-07
29,-53.47826086956522,-8.846553e-07
30,-53.391304347826086,-8.076571e-07
31,-53.30434782608695,-7.264541e-07
32,-53.21739130434783,-6.632704e-07
33,-53.130434782608695,-5.913338e-07
34,-53.04347826086956,-5.403909e-07
35,-52.95652173913044,-4.746109e-07
36,-52.869565217391305,-4.263597e-07
37,-52.78260869565217,-3.707966e-07
38,-52.69565217391305,-3.182286e-07
39,-52.608695652173914,-2.731345e-07
40,-52.52173913043478,-2.313708e-07
41,-52.434782608695656,-1.931965e-07
42,-52.34782608695652,-1.568389e-07
43,-52.26086956521739,-1.255221e-07
44,-52.17391304347826,-9.625158e-08
45,-52.08695652173913,-7.363093e-08
46,-52.0,-5.348291e-08
47,-51.91304347826087,-3.817728e-08
48,-51.82608695652174,-2.693436e-08
49,-51.73913043478261,-2.133119e-08
50,-51.65217391304348,-1.937504e-08
51,-51.565217391304344,-2.022129e-08
52,-51.47826086956522,-1.859469e-08
53,-51.391304347826086,-1.827274e-08
54,-51.30434782608695,-1.864012e-08
55,-51.21739130434783,-1.861967e-08
56,-51.130434782608695,-1.85507e-08
57,-51.04347826086956,-1.857953e-08
58,-50.95652173913044,-1.844224e-08
59,-50.869565217391305,-1.842052e-08
60,-50.78260869565217,-1.842012e-08
61,-50.69565217391305,-1.835621e-08
62,-50.608695652173914,-1.833847e-08
63,-50.52173913043478,-1.833014e-08
64,-50.434782608695656,-1.831931e-08
65,-50.34782608695652,-1.830455e-08
66,-50.26086956521739,-1.826676e-08
67,-50.17391304347826,-1.822062e-08
68,-50.08695652173913,-1.820769e-08
69,-50.0,-1.818297e-08
