,Voltage (V),Current (A)
0,-56.0,-2.397836e-09
1,-55.91304347826087,-1.45022e-09
2,-55.82608695652174,-1.267351e-09
3,-55.73913043478261,-1.154807e-09
4,-55.65217391304348,-1.062959e-09
5,-55.56521739130435,-9.585582e-10
6,-55.47826086956522,-8.850998e-10
7,-55.391304347826086,-8.449058e-10
8,-55.30434782608695,-8.003989e-10
9,-55.21739130434783,-7.710194e-10
10,-55.130434782608695,-6.893972e-10
11,-55.04347826086956,-5.209068e-10
12,-54.95652173913044,-6.492524e-10
13,-54.869565217391305,-6.112047e-10
14,-54.78260869565217,-5.534418e-10
15,-54.69565217391305,-5.270576e-10
16,-54.608695652173914,-4.848927e-10
17,-54.52173913043478,-5.0803e-10
18,-54.434782608695656,-4.525396e-10
19,-54.34782608695652,-4.425879e-10
20,-54.26086956521739,-3.784363e-10
21,-54.17391304347826,-4.000092e-10
22,-54.08695652173913,-3.714437e-10
23,-54.0,-3.301066e-10
24,-53.91304347826087,-3.864594e-10
25,-53.82608695652174,-3.321547e-10
26,-53.73913043478261,-3.64255e-10
27,-53.65217391304348,-3.196707e-10
28,-53.565217391304344,-3.487061e-10
29,-53.47826086956522,-3.324842e-10
30,-53.391304347826086,-3.47521e-10
31,-53.30434782608695,-3.269433e-10
32,-53.21739130434783,-3.424575e-10
33,-53.130434782608695,-3.084699e-10
34,-53.04347826086956,-3.40767e-10
35,-52.95652173913044,-3.190045e-10
36,-52.869565217391305,-3.305833e-10
37,-52.78260869565217,-3.278064e-10
38,-52.69565217391305,-3.092489e-10
39,-52.608695652173914,-3.698096e-10
40,-52.52173913043478,-3.149576e-10
41,-52.434782608695656,-3.357106e-10
42,-52.34782608695652,-2.845055e-10
43,-52.26086956521739,-3.260039e-10
44,-52.17391304347826,-3.01513e-10
45,-52.08695652173913,-2.914979e-10
46,-52.0,-3.075936e-10
47,-51.91304347826087,-3.262637e-10
48,-51.82608695652174,-3.086036e-10
49,-51.73913043478261,-3.074182e-10
50,-51.65217391304348,-2.935948e-10
51,-51.565217391304344,-3.311305e-10
52,-51.47826086956522,-3.186396e-10
53,-51.391304347826086,-2.998578e-10
54,-51.30434782608695,-3.020952e-10
55,-51.21739130434783,-2.953692e-10
56,-51.130434782608695,-3.18265e-10
57,-51.04347826086956,-3.278904e-10
58,-50.95652173913044,-3.073481e-10
59,-50.869565217391305,-3.246361e-10
60,-50.78260869565217,-2.839445e-10
61,-50.69565217391305,-3.076568e-10
62,-50.608695652173914,-2.798696e-10
63,-50.52173913043478,-3.069905e-10
64,-50.434782608695656,-2.94745e-10
65,-50.34782608695652,-3.101815e-10
66,-50.26086956521739,-3.019199e-10
67,-50.17391304347826,-3.203443e-10
68,-50.08695652173913,-2.5514e-10
69,-50.0,-3.03624e-10
