,Voltage (V),Current (A)
0,-56.0,-5.202481e-06
1,-55.91304347826087,-4.991259e-06
2,-55.82608695652174,-4.747306e-06
3,-55.73913043478261,-4.500768e-06
4,-55.65217391304348,-4.251208e-06
5,-55.56521739130435,-4.071922e-06
6,-55.47826086956522,-3.824123e-06
7,-55.391304347826086,-3.637611e-06
8,-55.30434782608695,-3.468709e-06
9,-55.21739130434783,-3.24081e-06
10,-55.130434782608695,-3.069151e-06
11,-55.04347826086956,-2.918719e-06
12,-54.95652173913044,-2.749633e-06
13,-54.869565217391305,-2.592588e-06
14,-54.78260869565217,-2.457753e-06
15,-54.69565217391305,-2.290617e-06
16,-54.608695652173914,-2.174712e-06
17,-54.52173913043478,-2.007628e-06
18,-54.434782608695656,-1.931372e-06
19,-54.34782608695652,-1.804341e-06
20,-54.26086956521739,-1.669253e-06
21,-54.17391304347826,-1.571006e-06
22,-54.08695652173913,-1.462499e-06
23,-54.0,-1.347511e-06
24,-53.91304347826087,-1.257987e-06
25,-53.82608695652174,-1.164445e-06
26,-53.73913043478261,-1.062294e-06
27,-53.65217391304348,-9.806255e-07
28,-53.565217391304344,-9.02158e-07
29,-53.47826086956522,-8.218408e-07
30,-53.391304347826086,-7.45094e-07
31,-53.30434782608695,-6.811301e-07
32,-53.21739130434783,-6.092872e-07
33,-53.130434782608695,-5.487129e-07
34,-53.04347826086956,-4.82908e-07
35,-52.95652173913044,-4.275324e-07
36,-52.869565217391305,-3.782821e-07
37,-52.78260869565217,-3.259563e-07
38,-52.69565217391305,-2.79339e-07
39,-52.608695652173914,-2.334771e-07
40,-52.52173913043478,-1.921961e-07
41,-52.434782608695656,-1.59486e-07
42,-52.34782608695652,-1.279499e-07
43,-52.26086956521739,-9.609251e-08
44,-52.17391304347826,-7.384072e-08
45,-52.08695652173913,-5.320604e-08
46,-52.0,-3.805649e-08
47,-51.91304347826087,-2.759853e-08
48,-51.82608695652174,-2.241024e-08
49,-51.73913043478261,-2.097018e-08
50,-51.65217391304348,-2.050089e-08
51,-51.565217391304344,-2.038682e-08
52,-51.47826086956522,-2.035756e-08
53,-51.391304347826086,-2.035745e-08
54,-51.30434782608695,-2.021384e-08
55,-51.21739130434783,-2.020634e-08
56,-51.130434782608695,-2.02219e-08
57,-51.04347826086956,-2.001083e-08
58,-50.95652173913044,-2.008801e-08
59,-50.869565217391305,-1.993201e-08
60,-50.78260869565217,-2.043477e-08
61,-50.69565217391305,-2.008281e-08
62,-50.608695652173914,-2.004062e-08
63,-50.52173913043478,-1.988398e-08
64,-50.434782608695656,-1.99502e-08
65,-50.34782608695652,-2.033622e-08
66,-50.26086956521739,-1.995385e-08
67,-50.17391304347826,-1.98634e-08
68,-50.08695652173913,-1.983518e-08
69,-50.0,-1.986082e-08
