,Voltage (V),Current (A)
0,-56.0,-4.065282e-06
1,-55.91304347826087,-3.87744e-06
2,-55.82608695652174,-3.687222e-06
3,-55.73913043478261,-3.510354e-06
4,-55.65217391304348,-3.330223e-06
5,-55.56521739130435,-3.176837e-06
6,-55.47826086956522,-3.048816e-06
7,-55.391304347826086,-2.848495e-06
8,-55.30434782608695,-2.701052e-06
9,-55.21739130434783,-2.592222e-06
10,-55.130434782608695,-2.433224e-06
11,-55.04347826086956,-2.312668e-06
12,-54.95652173913044,-2.18635e-06
13,-54.869565217391305,-2.080304e-06
14,-54.78260869565217,-1.966921e-06
15,-54.69565217391305,-1.845702e-06
16,-54.608695652173914,-1.742126e-06
17,-54.52173913043478,-1.634788e-06
18,-54.434782608695656,-1.544454e-06
19,-54.34782608695652,-1.433324e-06
20,-54.26086956521739,-1.349654e-06
21,-54.17391304347826,-1.25342e-06
22,-54.08695652173913,-1.174127e-06
23,-54.0,-1.082843e-06
24,-53.91304347826087,-1.018508e-06
25,-53.82608695652174,-9.287596e-07
26,-53.73913043478261,-8.640803e-07
27,-53.65217391304348,-7.810961e-07
28,-53.565217391304344,-7.253723e-07
29,-53.47826086956522,-6.62227e-07
30,-53.391304347826086,-6.069619e-07
31,-53.30434782608695,-5.524171e-07
32,-53.21739130434783,-5.021248e-07
33,-53.130434782608695,-4.552119e-07
34,-53.04347826086956,-3.971703e-07
35,-52.95652173913044,-3.50072e-07
36,-52.869565217391305,-3.114384e-07
37,-52.78260869565217,-2.7157e-07
38,-52.69565217391305,-2.318893e-07
39,-52.608695652173914,-1.991366e-07
40,-52.52173913043478,-1.656576e-07
41,-52.434782608695656,-1.359524e-07
42,-52.34782608695652,-1.095658e-07
43,-52.26086956521739,-8.50275e-08
44,-52.17391304347826,-6.628031e-08
45,-52.08695652173913,-4.956599e-08
46,-52.0,-3.666289e-08
47,-51.91304347826087,-2.776188e-08
48,-51.82608695652174,-2.185417e-08
49,-51.73913043478261,-1.9398e-08
50,-51.65217391304348,-1.83758e-08
51,-51.565217391304344,-1.81408e-08
52,-51.47826086956522,-1.809558e-08
53,-51.391304347826086,-1.804869e-08
54,-51.30434782608695,-1.794016e-08
55,-51.21739130434783,-1.793509e-08
56,-51.130434782608695,-1.787774e-08
57,-51.04347826086956,-1.789009e-08
58,-50.95652173913044,-1.784886e-08
59,-50.869565217391305,-1.781581e-08
60,-50.78260869565217,-1.781384e-08
61,-50.69565217391305,-1.77937e-08
62,-50.608695652173914,-1.774846e-08
63,-50.52173913043478,-1.772233e-08
64,-50.434782608695656,-1.77045e-08
65,-50.34782608695652,-1.772235e-08
66,-50.26086956521739,-1.768535e-08
67,-50.17391304347826,-1.758452e-08
68,-50.08695652173913,-1.760663e-08
69,-50.0,-1.75684e-08
